,rating,pros
28,4.5,"Office environment: Very clean office with a global and uniform atmosphere. As part of the welfare program for employees, simple snacks and drinks are free. Equipment never runs out, and each floor has its own catering staff. The necessary equipment and resources are in place, and there is no shortage, so there is an environment where you can concentrate only on your own work. Couldn't ask for a better environment. As for personnel, it feels like the best elites are gathered. I have the impression that new graduates are attracting top elite and energetic people in Japan, so the level of competition is very high."
29,4.9,"Benefits: ESPP (Employee Stock Purchase Plan): You can buy up to 15% monthly. After Corona, it is a permission system to go to the office with an app (the number of people per day/floor is limited). After Corona, the repertoire has become lonely, but sweets and drinks are always replenished and fulfilling."
30,5.0,"Welfare program: Stocks for employees can be purchased at 15% off, so it is a very profitable system. Office environment: It looks stylish and has a comfortable working environment. There is a meeting space in every corner. Drinks and snacks are provided free of charge."
31,3.8,"Working hours/holidays/holidays: It is up to the individual to decide what constitutes a work-life balance, but it is better to be prepared for the length of working hours. There is a top-down atmosphere in the sales organization, and there are times when the degree of freedom is not very high. There is a very contradictory atmosphere that free work style is allowed by achieving results"
32,3.8,"Corporate culture/corporate style: There is an unexpectedly closed atmosphere, and there is a difference in how to deal with people who are achieving results and those who are not. There is also a scolding above. Diversity/diversity: I feel that there is diversity as a company. . ."
33,3.9,"Corporate Culture/Corporate Style: Employees called Ohana are said to be family members in Hawaii, but I haven't really felt that. I think there is a strong division of labor and there is a place where responsibility is passed on to each other. Diversity: I think it's very good"
34,4.3,"Working hours/holidays/holidays: The number of meetings has obviously increased due to remote work. There were things like meetings for the sake of meetings, and to be honest, most of my work ended with meetings, and I was able to enter as early as 7:30 in the morning. After all, there are miscellaneous affairs at night, and there are many times when I work until 9-11 o'clock. Diverse work style support: Side jobs are also possible, and it is easy to do there."
35,3.5,"Welfare: 10,000 yen/month for fitness fee assistance. Also, since I started working from home, I am grateful for the 5,000 yen/month subsidy for electricity bills. Office environment: Although the office is located in a prime location in Otemachi, it is recommended to work from home during the corona crisis, making it a comfortable environment to work in. The facilities are high quality, and you can refresh yourself with free snacks and massages."
36,4.5,"Ease of working for women: I think sales are hard work. There are people who are compatible with family life, but I get the impression that they are still in the minority. The image of other departments is that there are quite a lot of women. I've also seen some women in the sales department find the right timing and move to other departments. I think it's important to choose such an option to work for a long time. That's why the business is busy, micro-management, and has an athletic atmosphere."
37,5.0,"Salary system: Bonuses are determined based on performance.In addition, bonuses are paid monthly, which leads to motivation.If budget achievement continues, base salary will increase accordingly.Evaluation system:Promotion, promotion is for young members if their abilities are recognized. The number of management positions continues to increase as the organization continues to grow and expand"
38,3.9,"Education/Training: Because the number of successful cases in the past is increasing, in other words, the proposals of the past have become nothing more than horizontal developments. In addition, although there are many places for knowledge sharing and study sessions, there are many things that are left to the individual to catch up and establish themselves, so there are many people who are left behind and give up. I feel that the part that I can get is increasing recently. The number of people is increasing in the expansion period, and the number of new people in management is increasing, so there is still room for improvement."
39,4.5,"Salary level: Incentives are reasonably evaluated based on numbers and activities, so content is convincing. As for the base, I have the impression that it is treated very preferentially within the industry, and the theoretical annual salary is set high. When a position is assigned, it is rare to have more than one, and recently, the number of posts has increased along with the expansion of the organization. I don't see many people complaining about their treatment, so it seems that everyone is generally satisfied. Salary increases will be reviewed on an annual basis, but it seems that the grades are steadily rising, and the salary increases are progressing smoothly."
40,4.9,"Working Hours/Holidays/Holidays: I think the work-life balance is good. It's a discretionary work system, so when you're busy before making a proposal, you can be busy, but you can work with a good balance. There are also rules such as no business contact after 19:00 at night and on holidays. Diverse work style support: Fully compatible with remote work. It seems that the side business will be a permit system."
41,3.7,"Working Hours/Holidays: Closed on Saturdays, Sundays, and public holidays. Paid can also be digested. Working hours vary greatly from person to person. Remote work is possible. Diverse work style support: There are considerable differences between individuals in terms of remote work, going home early, etc. Since there are many teleconferences, there are times when I have a meeting with my home country, the United States, late at night or early in the morning."
42,3.9,"Education/Training: Knowledge sharing of past successful cases is actively carried out. This is true not only between individuals, but also within teams, departments and the company as a whole. A support system that is not often found in other foreign companies. In addition, since mid-career employees who have not joined the company for a short time are given generous study sessions on services, there is a relatively solid foundation for catching up. There is also a one-month training after joining the company, so there is an environment in place that allows people who are joining the company mid-career to play an active role."
43,4.9,"Working hours/holidays/holidays: Flexibility, but the amount of work that must be done to produce results is large. Emphasis is placed on equality of race, gender, family environment, etc., and the direction of freedom is strong."
44,4.9,"Working hours/holidays and holidays: After a certain number of years, the work-life balance is at a satisfactory level. Almost no work on holidays. We have high goals, but we have systems, systems, and products to support them. Diverse work style support: Remote work can probably be continued even after COVID-19 if desired"
45,3.8,"Salary system: Salary level is high and remuneration is paid with a sense of satisfaction. In order to continue to produce high performance, we have a well-developed on-site educational environment and organizational strength that can withstand a tough sales battle. can also Evaluation system: I think it's fair"
46,5.0,"Welfare: No benefits other than benefit station and IT health insurance. Transferees receive generous benefits such as rent and transportation expenses. Office environment: All offices are located in good locations and are always stocked with drinks and snacks. Currently, remote work is the main thing in Corona, so the number of people who come to work is quite limited."
47,4.3,"Corporate Culture/Company Style: As the name suggests, sales are strong and the organizational climate is sales-oriented. Image of surrounding organizations centering on sales Diversity/Diversity: Compared to other countries, Japan has less diversity in terms of gender and race than other countries, but in this company, we are promoting women and hiring people with disabilities. continuing focus"
48,3.8,"Benefits: Stock options and shareholding plans benefit from the ever-rising stock price. Office environment: We have spent a lot of money on the office environment, and we are planning to open a new office in the fall of 2021. Our in-house cafe is always stocked with snacks and drinks."
49,5.0,"Diverse work style support: With the end of corona restrictions, it is now possible to go to work freely, but the model is 1-2 days a week, but only 20-30% of employees actually go to work. On a personal level, people who don't come to work once or twice a month, and people who do, every day, it depends on the person. We do not have the capacity to accept all employees coming to work, so I think this trend will continue."
50,4.1,"Working hours and holidays: You can choose to work from home or work in the office, making it very easy to control your time. Diverse work style support: Not only remote work, but also the management of working hours is left to the individual. I am very grateful that the autonomy of the employees is respected."
51,3.9,"Working Hours/Holidays/Holidays: Everyone works differently. It is strong depending on how far the project is involved. If it sells, you can control it, so the image of people who are easy to work and people who are hard work is polarized."
52,5.0,"Welfare: Welfare is almost non-existent Office environment: I think the office environment is a beautiful environment, and it's nice to be able to get snacks and drinks freely. You can get it (although the back office group gets it after all)"
53,4.8,"Working Hours/Holidays/Holidays: It's not exactly white, but overtime work is often less than 30 hours. If it's not sales, I don't often work on Saturdays and Sundays. Diverse work style support: Full remote, side jobs, and taking afternoon breaks are all possible. Able to work very flexibly."
54,4.1,"Gap between expectations at the time of joining the company and after joining the company: I thought that we were evenly penetrated by customers in each industry, but there is a considerable difference in sales performance between areas where we are good at and areas where we are not. Penetration into the financial industry is progressing, and inquiries from customers are increasing. The internal understanding of the acquired product is not very high, and the motivation is biased."
55,4.9,"Welfare: In partnership with a welfare company, there are wellness allowances that allow you to receive general massages and go to a sports club. meet"
56,5.0,"Working hours/Holidays and holidays: Around 9:00 to 18:00, but I have many meetings with customers during the day, and I prepare proposals after that. If the numbers are up, the way you work can be quite flexible. Diverse work style support: You can work quite freely, such as flextime and remote work."
57,4.3,"Working hours/holidays/holidays: Work-life balance is very easy to achieve Diverse work style support: An environment where you can freely choose a variety of work styles. A company that actively creates an environment where employees can work comfortably, such as remote work, flextime, and side jobs (requires application and approval)"
58,4.8,"Corporate culture/corporate style: free Organizational structure/communication: depends on the department. Diversity/Diversity: Diversity such as gender, race, nationality, religion, and work style is emphasized."
59,4.7,"Working Hours/Holiday Leave: Depending on the position, paid leave can be taken at any time. Diverse work style support: Depending on the position, it is possible to work from home. In principle, the support department works from home, and there are strict standards for coming to the office."
60,4.5,"Diversity: We have people from various industries in our inside sales and SME departments. On the other hand, the age of the enterprise department is relatively high, and the early 40s are the volume zone, and I have the impression that there are many people from foreign IT companies. It feels like IBM, Oracle, HP, etc. are almost occupied."
61,4.5,"Corporate culture/corporate style: An environment that demands more challenges and achievements. Diversity/diversity: As a company, we have a message that we value diversity, and this is actually being embodied through volunteer activities."
62,4.5,"Working hours/holidays/holidays/holidays/holidays/holidays/holidays/holidays/holidays/holidays/holidays/holidays/offices/offices/holidays/holidays/offices/holidays/holidays/offices Even mid-career hires are given ample paid leave when they join the company. Diverse work style support: Before COVID-19, WFH was allowed up to two times a week."
63,4.8,"Growth/Career Development: You can gain valuable experience through working at a company and develop your career. Motivation to work: In terms of salary, if you are producing good results, you are likely to be motivated to work. However, if their grades are poor, they feel that their work is not worthwhile."
64,4.8,"Working hours/holidays/holidays: I think the work-life balance is good. It's just that the people in the outside business are mixed. Some people work a lot of overtime. Diverse work style support: There is also an office in Shirahama, Wakayama Prefecture, where remote work is possible."
65,4.3,"Office environment: There are islands for each department and section, but the basic work space is free address. Apart from the office space, there is a common space called a cafe, where light meals are available for take-out. Many people hold frank meetings at cafes."
66,4.6,"Benefits: The office recently got a new look. Stock holding, wellness, transportation expenses, social insurance, etc. Office environment: The environment is wonderful. Holding, wellness, meeting room, office in Marunouchi, directly connected to the station. Snacks and drinks are free."
67,3.8,"Ease of working for women: I think it depends on the department. There are women who are also raising children in sales, but I think it will be difficult for those who have a strong desire to balance work and family. Since we deal with customers and systems, we are busy dealing with sudden troubles and system failures."
68,5.0,"Business strengths: Multi-product business that realizes integrated CRM Weaknesses: Due to specialization in CRM, we can meet requirements including other areas Weak business prospects: Still growing"
69,5.0,"Working hours/holidays/holidays: It's now fully remote, so it's up to you whether you do it or not. Diverse work style support: One of the core values ​​is ""equality"", and people are evaluated as individuals regardless of nationality, gender, or anything else."
70,2.8,"Working hours/holidays/leaves: Each employee has considerable discretion, so I think it's easy to balance work and life. Therefore, emails are flying around in the middle of the night, and it is questionable whether it is good for health. Diverse work style support: Remote work is the basis. The new office building does not have seats for all employees, so it is necessary to reserve a seat in order to come to work. Side jobs are also possible within the default, and some people are actually doing it."
71,4.5,"Working hours/holidays: [Taking long vacations] I think that our culture makes it easy for employees to take long vacations, as colleagues at the US headquarters and in other countries sometimes take long vacations during the summer vacation, Christmas, and year-end and New Year holidays. It seems that the sales are also taking a break for about a week, and they are helping each other for the holidays by acting as sales agents for each other. Temporary employees can also take long-term paid holidays if they are granted paid holidays by the temporary staffing company. Even if you are not granted paid vacation, there is an atmosphere in which you can consult about taking a long vacation as an absence."
72,4.6,"Growth potential/future potential: There are still many needs for services centered on CRM and sales support, and we will continue to grow. Also, in the digital marketing area, we are focusing on the B2C area, so we will accelerate our approach to the retail industry, which we have not been able to cover so far. It is also a factor that many excellent sales people are growing because they put a lot of effort into improving the skills of each sales person. In the future, I feel that the range of proposals will be expanded by aiming for a platform that collects customer information from all directions."
73,4.6,"Social Contribution in Business: The good thing about this company is that it puts out social contribution on all fronts. The model of 1-1-1 is affecting not only our company but also other companies. From the time I joined the company, I was told that it was important to volunteer, and I was given the right to spend 1% of my working hours. Each department has a staff in charge of promoting volunteers, and events are held so that they can actively participate. We often do off-site training, but we also carry out regular training and social contribution. We also clean up the area and support underprivileged children."
74,4.6,"Office environment: The office environment is a very nice environment. In the cafe space, you can drink coffee and drinks for free at a level comparable to that of shops. Rice balls and yogurt are also provided. The interior is globally standardized and has a comfortable environment. It's an environment that makes you want to invite customers here. Located in front of Tokyo Station, it is very convenient for commuting and business, and it is comfortable to go to the countryside. The reception is also polite and it feels like welcoming customers."
75,4.5,"Growth/career development: [When you feel growth] Your achievements are directly reflected in numbers and bonuses. Personal interviews with superiors and personnel managers are also frequently held, and at these times, employees can accurately evaluate themselves. I can feel that my hard work is being seen by my superiors, so I am always motivated to grow, and I get feedback on how often I want to grow."
76,4.2,"Salary level: The salary level is quite high, isn't it? There are many incentives, and there are many factors that motivate employees financially. In addition, awards are often given, and if you achieve a certain level of performance, you can receive products such as an iPad mini, and employees who have achieved good results throughout the year can be invited to Hawaii for free. is."
77,4.5,"Growth/Career Development: [Environment where you can grow] There is relatively little workload and project volume at work, and you don't have much time or ability to spend, so you can't expect much growth. I think that the company culture and human relations are better than other companies. While maintaining a good sense of distance, everyone doesn't really care about other people, so it's an environment where it's easy to work with neutral interpersonal relationships."
78,4.5,"Growth/career development: [Ability/skills to be acquired] The latest equipment such as PCs, smartphones and servers are easily available, so you can acquire knowledge so that you will not always be outdated. As for the Salesforce application, I think that it is a very valuable part because it is an environment where online training can be done."
79,4.5,"Working hours/holidays/holidays: Sales are busy and we are chased by numbers every day Micromanagement especially for small and medium-sized personnel Support for diverse work styles: It wasn't there at the time, but I think it's normal to work remotely in the face of COVID-19"
80,3.9,Business strengths: Strong products make it easy to make proposals. Weaknesses in business: None in particular Business outlook: We will become stronger as a platformer in the future
81,4.9,"Salary system: Evaluation system where incentives for own sales figures are paid monthly: meritocracy. Criteria for promotion and promotion are clear. The business and employees are expanding, and the speed of promotion and promotion is fast."
82,4.1,"Working hours/holidays/holidays: There is a tendency to place more emphasis on private life. We are evaluated based on the results, so the atmosphere is that if you are achieving results, you should take more vacations. However, the hurdles for achieving results are quite high, and operations are also detailed, so many people tend to work hard for a while after joining the company."
83,4.5,"Growth/career development: [Environment where you can grow] Even if you are inexperienced, you can trust and leave a big project, so it is an environment where you can grow. In terms of human relationships, everyone has a good sense of distance. Even people with peculiar personalities are treated as individuality and can be treated without discrimination."
84,4.1,"Education/Training:・A lot of seminars and in-house training.・There are plenty of trainings that can be received at any time, such as online training.・In-house content can be easily viewed anytime, anywhere, and those with a high learning awareness grow quickly. - Mandatory courses such as compliance are well organized under the leadership of HR."
85,4.9,"Salary system: Annual salary system. Bonuses are paid once a year. Evaluation system: Frequent promotions. It is a meritocracy, and those who produce results can go to the top regardless of the number of years they have been with the company."
86,4.9,"Corporate Culture/Corporate Style: I think there are many people who gather with the slogan that business is the best platform to bring about change in society, and with the desire to make society a better place through technological innovation."
87,4.3,"Diverse work style support: Since the corona crisis, entering and exiting the company has been restricted, and remote work is the basic premise. As part of our sales activities, we had to apply in advance and get permission to visit customers, so I felt that the health management of employees was very well taken care of."
88,5.0,Working hours/holidays/holidays: Very good. There is work life balance. Diverse work style support: Side jobs are also possible. Remote work possible. It is possible to go home early. Working support is the best.
89,4.5,"Growth/career development: [Environment where you can acquire skills such as PC and language] I don't know the definition of PC skills, but in order to be able to enter the cutting-edge environment of the cloud, such skills are also acquired in sales. I think.   Language skills are inevitably required as you need to communicate directly with HQ."
90,4.3,"Office environment: In addition to your own seats, there are café-style open seats that you can use freely. Light meals were also prepared there, and there were quite a few people who finished their breakfast there. Impression that there were not many meeting rooms for the number of employees."
91,4.5,"Welfare: 10,000 yen a month for gym and massages Medical insurance 401K Office environment: Sweets and a drink bar in the free space, which was nice"
92,4.8,Working hours/holidays/leaves: Sales staff may or may not have a work-life balance depending on the achievement rate of goals. Diverse work style support: Remote work possible.
93,4.8,"Ease of working for women: It depends on the type of job, but it should be easy to work if it is not outside sales. A friendly environment where remote work is possible and no one cares if children appear in online meetings. It is easy to work in consideration of child care."
94,3.8,"Easy work for women: The back office is a company where many women are active, but there are still many men in the sales department. I don't feel any difference between men and women at work, but there are still very few female executives."
95,4.1,"Working hours/holidays/holidays: ・Evaluation of results is clear and thorough, and high salary and evaluation are guaranteed if there is ability, so if you produce results, you can control your working hours yourself .・The atmosphere in the company encourages employees to take paid leave.・Volunteer activities are recommended and can be transferred to vacation."
96,5.0,"Growth/career development: SAAS is Salesforce, so it's a good choice if you want to work for a SAAS company. Job Satisfaction: Salary and Growth Potential"
97,4.6,"Growth/career development: If you have the skills and time, you can grow and develop your career. Workplace: Reputable company. A system necessary for sales."
98,3.8,Growth/career development: A very good environment for those who are highly motivated to grow Motivation to work: I value the idea of ​​getting a large salary for working
99,4.5,"Growth/career development: The place where you can learn about your company's products is open to the public and employees can learn from it. There is also a qualification exam, so there is a place to actively use it to advance your career."
100,5.0,"Working hours/holidays and holidays: There is no strict work management, so it's up to you. If you can't control yourself, you have a lot of work to do, so I think it's hard. Diverse work style support: Remote work was allowed two days a week, but I think it will be more accelerated after corona."
101,4.3,"Ease of working for women: Although there are differences depending on the department, it is an environment that is easy to work in. There are many female leaders in their home country, and they are very active in taking the podium at events and sending messages both inside and outside the company. In addition, the impression that the use of the childcare leave system is progressing"
102,3.3,"Growth Potential and Future Potential: At that time, the cloud boom was happening, and it was becoming really hot. However, not only that, but the quality of service and focus on customer success are promising, and it seems that this is still going on today."
103,3.9,"Growth/career development: Very good company as the first foreign capital from domestic capital. Motivation: The content of the proposal itself is interesting, so it is often useful."
104,3.7,Growth/career development: I think it's a matter of personal motivation. Job satisfaction: A company that treats you so well that you won't want to change jobs
105,5.0,"Working hours/holidays/holidays: No vacations Support for various work styles: Remote work is possible, but basically it depends on the customer to suit the customer"
106,4.1,"Welfare: ・A high percentage of office workers receive benefits.・The system for female employees is not sufficient.・In a positive sense, the company has a strong system and culture that allows excellent employees to play an active role, and the retention rate is high.・The core system is managed by the US head office, and some contents are not translated into Japanese."
107,4.9,"Benefits: It's a very exciting environment, the office is clean, and there's a yoga class in the morning. You can take care of your private life while being aware of your work and work-life balance. It is the best as a welfare package and work environment."
108,2.8,"Growth/Career Development: The environment is perfect for learning the basics of sales. The level of people around me is high, and I can learn the basics of sales firmly, so I will be able to use it in my next career."
109,4.1,"Growth/career development: Cloud services are one of the most advanced companies in the world, so you can learn about advanced technologies, services, and innovative implementation examples before anyone else. There are many events and seminars, and I think you can get more information than any other company."
