,rating,cons
43,4.5,"Working hours/holidays: [Acquisition of paid leave] Paid leave is quite easy to obtain because it is a corporate culture that encourages taking it. It seems that employees can take leave separately in the morning and afternoon, and I often see people who take leave in the afternoon, go to the airport and travel, etc. Also, if it's just picking up your child or going to the hospital, you can adjust the time by flextime or remote work, so you don't have to bother to reduce your paid vacation. did. Even if temporary employees apply for paid leave for about a week in a row, they can definitely get it without being asked about the reason."
44,4.5,"Working hours/holidays: [Acquisition of long vacations] Employees are granted more days of paid vacation than the legal requirement, and it is very easy to take vacations, so we will encourage temporary employees to take vacations as well. I explained that I rarely take paid leave because I only have about 10 days, which is legally required, but people who push me a little to take a vacation, such as ""I should refresh myself!"" There is Even if you were able to take a week off like an employee, if you don't use your paid leave, your salary will be reduced by about 70,000 to 80,000 yen."
45,4.5,"Job description: [Individual discretion] If you are given a boss who does not have management skills, you will be instructed and work as if you are being monitored. Also, there are many employees who do not understand what it is like to work with temporary staff, and since they have not received any instructions for almost half a year after joining the company, there are many temporary staff who quit because they are too busy. On the other hand, some misguided employees treat temporary workers as if they were employees and expect them to gobble up the work themselves without giving them the basics and knowledge."
46,2.8,"Welfare: There is no housing subsidy, but there are monthly health subsidies, home allowances, and stock ownership associations. Office environment: We have moved to a new office building, but there are few opportunities to use it. It used to be nice to have a clean office, but I don't know if I'll ever have the opportunity to make use of it."
47,4.6,"Salary level: The salary is based on the previous job, but the base alone will not exceed the previous job. Since it is premised that basic incentives are provided, the salary will be more than the previous job, including that. There is no upper limit for incentives, so if you achieve them, you will receive a large amount of money. If it exceeds 120% etc., it will be accelerated and it will increase more. This is different between Enterprise and Small. If even young people can produce numbers, it will become a company where they can earn good salaries, which is also connected to their motivation."
48,5.0,"Company stability: Since it is a subscription-type business rather than a so-called SI or one-off package software business, contracts continue to accumulate and grow steadily as long as the license is not canceled. There is a mechanism for retention support and follow-up of existing customers (including user meetings, etc.) so that they do not cancel, so it feels good to be able to work from the perspective of ""customer success""."
49,5.0,"Working hours/holidays/holidays: Paid usage rate tends to be low in the sales department. However, not only results but also all processes are visualized in Salesforce, so people who ""do what they do properly"" rarely complain about taking a break. In addition, it is visualized that sales numbers will increase if we can thoroughly ""do what we do"", so each person has a sense of conviction."
50,3.9,"Welfare: Nothing special. I don't think there are many people who expect welfare benefits. Office environment: I no longer come to work, but the office is clean. And the relocation will be done, but the new office looks pretty amazing."
51,4.8,"Salary system: It is a general salary system for sales at foreign-affiliated companies. Basic salary plus incentives. If KPIs are significantly achieved, the incentives will increase as well. There are only a handful of people whose KPIs exceed 100% in inside sales. There are almost no allowances."
52,4.9,"Salary system: About 40% of sales incentives. If you achieve it, you will get big. Evaluation system: In sales, the order amount is greatly reflected in the salary. Multifaceted evaluation is done to raise the job grade."
53,5.0,"Working hours/holidays/holidays: 9:00-18:00. After that, it's up to the individual to work or not. Personally, I work overtime to get results, but I feel that the work style that allows me to take time to raise my children is very attractive because I work completely from home."
54,4.5,"Employment stability: [Compatibility between work and private life] As long as you can produce results, people won't say too much.  Basically, work is from 9:00 to 18:00, but overtime work is normal because there is no overtime pay. However, as long as the results are consistent, no one will complain even if they leave work at 18:00."
55,4.7,"Corporate Culture/Corporate Style: Good atmosphere. Diversity: No discrimination based on gender, race, nationality, religion, or disability. completely equal."
56,5.0,"Salary system: very good. No problem. A very good company and I would recommend it to anyone. Rating system: Very good. There is no particular problem, it is meritocracy."
57,4.5,Compensation: Base: Incentive was 6:4. Incentives are linked to individual new sales Rating system: vague
58,4.5,"Growth/career development: [Presence or absence of guidance from superiors and seniors] It is better to think that there is no guidance, especially for sales to super large companies.   There is a person called a tutor, but it is a disposition that people later say, ""Actually, I was a tutor.""   I can't use my boss' managing director at all."
59,4.9,"Ease of working for women: When I consulted with my boss about how to work after maternity and childcare leave, the rules were immediately reviewed."
60,4.9,"Salary system: Because of the incentive system, salaries are paid according to performance. Evaluation system: Merit-based and sales positions are easy to understand."
61,4.5,Salary system: All sales are composed of basic salary + incentives Evaluation system: Whether or not the target is achieved is the evaluation axis
62,4.5,"Working Hours/Holidays/Holidays: Overtime pay is substantial. There is a clear division between those who work overtime and those who do not, and there is an imbalance in the workload of each individual. If you work overtime after 10:00, you will receive a late-night allowance. If overtime hours exceed 60 hours per month (360 agreement), guidance is provided."
63,4.9,"Salary system: Sales are base salary + quarterly commission system. If the degree of achievement against the target is good, the commission will increase accordingly, but if the performance is not good, it will be the base salary + a small amount."
64,4.1,"Salary level: For the sales department, there is a base, but a complete performance-based incentive system has been introduced. The base incentive rate varies depending on the experience level in the middle. Salary is high compared to competitors."
65,4.1,"Working hours/holidays/holidays: Overtime (actual working hours) is generally long in order to achieve good results.・In general, it is difficult to get the expected evaluation without doing a lot of hard work soon after joining the company.・There is a discrepancy between the superficial system (creating an atmosphere within the company) and the reality of the workplace."
66,4.8,"Salary system: For sales-related occupations, it depends on the achievement of goals. Evaluation system: Sales positions are based on the target achievement rate."
67,4.5,"Motivation: [Tolerance for failure] It is difficult to express by being tolerant or strict. We don't have a culture of pushing responsibility or blaming one person, but people who repeatedly fail can't keep up with the speed of work and naturally quit."
68,4.3,Salary system: Enterprise sales account executive monthly salary + incentive system. The ratio of monthly salary to incentives was 6:4.
69,3.9,Easy to work for women: We have an environment that is easy for women to work in. Many people are actually returning from maternity leave.
70,4.5,"Welfare: [Ease of taking paid leave, how to apply] Apply online 2-3 days in advance.   The hurdles for consulting on applications are low, as communication is carried out using in-house communication tools."
71,4.5,Welfare: [Health-related initiatives and systems] We have begun to visualize overwork through the use of time cards for all employees. Specific measures after visualization and visualization accuracy are yet to come.
72,4.5,"Office environment: Only the message precedes, and in Japan, without trying to realize the essential meaning, the message that comes out of the headquarters is ostensibly used to force the employees to overdo it."
73,4.6,"Gap between expectations when joining the company and after joining: Too busy. Japanese Americans, not foreigners"
74,4.8,"Ease of working for women: There are many female employees. However, the percentage of women in sales positions is low."
75,4.6,Ease of working for women: It is easy to work. It's not like she's a woman.
76,4.5,"Corporate culture/corporate style/organizational system: [Is the environment comfortable to work in?] If I had to say it, the number of employees has increased too much and the company has become smaller. It is a problem because there is no budget to increase the number of offices."
77,4.5,"Working hours/holidays and holidays: Overtime hours are long, but overtime pay is paid except for outside sales. I don't care about working hours because I will return as much as I do outside sales."
78,3.8,Ease of working for women: There are many considerations that make it easier for women to work
79,4.5,"Salary level: 34 years old Annual income of 20 million incentives is a sky ceiling, but the base salary is reasonable, so life is stable. No better treatment."
80,4.5,"Motivation: [Relationships with other departments] Low. There are times when I check with the sales person in charge regarding customer contracts, but everything is completed on SNS."
81,4.5,Welfare: [Systems and efforts to reduce working hours] None in particular. It seems that there is not much of such an idea because of the annual salary system.
82,4.5,Growth/career development: [Presence or absence of guidance from superiors and seniors] No one will teach you passively. Volunteer to listen.
83,4.5,Employment stability: [Monthly overtime hours] About 30 hours a month. neither more nor less.
84,4.8,"Working hours/holidays/holidays: I think it varies depending on the type of job and department, but there were some full-time employees who got married and had children, so I think the company can adjust to some extent as long as they are doing their own work properly. felt. Diverse work style support: I heard that remote work is the main thing after corona. Some people went home early due to going to the hospital or having children. I think that it was possible to adjust the time to some extent by negotiating with temporary staff."
85,4.8,"Salary system: I was a temporary employee, so I don't know about the company's salary system. I think it's result-oriented. Evaluation system: I was a temporary employee, so I don't know about the evaluation system. I think it's a meritocracy."
86,4.5,"Salary level: As an hourly wage for dispatch, it can be described as ""normal"". I've never had a particularly good salary. Also, when I talked to an employee who works in the back office, he told me that it was surprisingly cheap, saying, ""Are you sure you can only get this amount?"" However, it seems that the more you sell, the more money you make."
87,4.8,"Ease of working for women: Even when I was enrolled, there were female employees who had children but were adjusted to work for pick-up and drop-off, so I think it is easy to work. I feel that it is a company that can rise to the top if it is evaluated regardless of gender."
88,4.5,"Easy to work for women: Temporary employees are not particularly recognized as members of the company, so they do not feel that they are particularly easy to work for. Rather, newly-married employees in their 20s say, ""I'm busy,"" and just throw away simple tasks and miscellaneous chores, and go home quickly with the excuse that they need to go to the hospital."
89,2.8,"Ease of working for women: Number of female managers. Not only in the in-house department, but also in the sales department. However, there are still more men. Working hours are up to you to discuss with your manager, so it may be easier to work than others."
90,2.8,"Evaluation system: The salary is too high for the content of the current job and working hours. The base salary is good, so I don't feel like I'm working hard to raise my salary."
91,4.5,Growth/career development: [Whether or not there is guidance from superiors and seniors] I think that many people are hired as ready-to-work rather than guidance. I think it's easy to get advice from seniors. I just think that if the person wants and acts on their own.
92,4.5,"Growth/career development: [Is the environment where responsibility and discretion are given early on?] In my case, it was. I'm still a contract employee, but I have a budget from the beginning, and I have a lot of responsible work and projects, such as setting numerical targets."
93,4.6,"Growth potential/future potential: Since it is a foreign company, if your boss is in the US, communication will be in English, so if you are not proficient in English, it will be difficult. Fluency in English is a must if you want to move up."
94,4.6,"Growth potential/future potential: We have solid welfare programs for our employees. Support for the use of sports clubs, subsidies for English schools, in-house refreshment services, etc."
95,4.5,"Corporate culture/corporate style/organizational system: [High employee motivation] None in particular. Basically, they are highly motivated and work hard. To put it bluntly, I don't really have a strong interest in other people. It depends on the person."
96,4.5,"Office environment: We don't have to do the cleaning ourselves, and if the contractor keeps it clean all the time, I feel that each person's manners tend to be loose and dependent. Small and medium-sized enterprises clean their surroundings by themselves."
97,4.9,"Office environment: JP Tower does not have enough seats for the ever-increasing number of people. There are not enough meeting rooms, and assistants and secretaries are struggling."
98,4.5,"Salary level: Temporary employees may suddenly have their contracts terminated due to organizational changes, etc., so if you don't work hard every day with a sense of urgency to improve your skills, you will be worried about the future."
99,4.8,Gap between expectations when joining the company and after joining: There is no particular gap because I was a non-regular employee
100,4.5,"Job Description: Temporary employees will also be given a certain degree of responsibility. However, the results are all taken by the employees saying, ""Thanks to my management."""
101,4.5,Corporate culture/corporate style/organizational system: [Points that employees should improve] It cannot be said that they are highly skilled in non-business work. Inexperienced people sometimes work inefficiently.
102,4.5,"Diverse Work Style Support: Dispatch is just dispatch. I get yelled at if I don't come on time, but I need to work overtime to finish the work that I've been forced to do."
103,4.5,"Education/Training: [Support from people around me] Basically, I was told to do my own research. I was surprised that some employees didn't even know they were in charge."
104,4.5,"Job satisfaction: [Severity of work] It becomes difficult to produce results. Since I am a sales person, I think I may fail, so it depends on the job."
105,4.7,"Working Hours/Holidays/Holidays: It's up to you to find a work-life balance. The basic working hours are from 9:00 to 18:00, but it is a super flextime with no core time. Therefore, you have to control it yourself. However, there are many things that must be done, such as self-study, document preparation, and customer surveys, so it is necessary to secure study time outside of work hours. It would be nice if I could make time to study during working hours, but most of the time I spend outside working hours due to customer support, research to advance business negotiations, internal meetings, etc. If you decide what to do and what not to do, you can maintain a good work-life balance, but if you try to do everything, even if you work until late at night every day, you will not be able to finish it, and you will be busy with work on holidays, and you will lose your balance. People who are not mentally bold tend to be hard to break down, push themselves into overwork, and tend to get sick. up to your control. Diverse work style support: Remote work depends on the department. Some departments are fully remote, while others come to work once or twice a week. However, family circumstances are taken into consideration, so they are not forced to come to work. Because of super flextime, it is possible to adjust the schedule, such as delaying the start of the morning to go to work after sending the child to nursery school for family reasons, or leaving early to pick up the child."
106,5.0,"Salary system: 80% of the estimated annual income presented is fixed salary and the remaining 20% ​​is incentives Incentives are paid quarterly. The calculation of incentives is more influenced by the figures of Japan as a whole than the figures of individuals, so for better or worse, you can get almost the same or more income than the initially presented assumed annual income. It is rare that you will receive an amount that is significantly different from the initial estimate, but it will not be less than the initial estimate. Evaluation system: Opportunity for promotion twice a year. As a premise, achieving individual goals is an important criterion for judgment, and if they do not achieve them, they will not be candidates for promotion in the first place. Among those who have achieved the goal, those who make a high degree of contribution in consideration of other activities and those who make high-quality proposals are promoted. There is also a pay raise apart from promotion, and there is a chance for a pay raise once a year. Salary increases are something that can be done if you are working normally, and your salary will increase by about 3 to 5% a year. The salary of the company is relatively high to begin with, so if your salary is 10 million yen in the previous year, your annual income will increase by 500,000 yen the following year, even if you are not promoted."
107,5.0,"Welfare: There is a good cafeteria in the office. The espresso machine is automatic, but the beans are specially roasted and replenished with good freshness, so I don't think you can taste the taste of this quality even at a full-fledged store. At first, most of the food was sweets, but in response to the voices of employees, healthy items such as dried fruits, fruits, nuts, and yogurt were offered, and I was worried about how much it would cost. Sometimes. ESPP and RSU, which are common in foreign companies, are helping to build assets other than salary at this time when stock prices are rising. Office Environment: Free desks are common due to lack of space for the increasing number of employees. There are quite a few meeting rooms, but they are not enough. The office furniture is well-invested, and the Aeron chair and stand-up desk are a big plus for someone who works long hours."
