,Unnamed: 0,title,author_info,rating,pros,cons,helpful
20,20,good place,"Apr 28, 2021 - Sales Executive in Chicago, IL",5.0,"I love it here, recommend!","all good, no cons sadly",Be the first to find this review helpful
21,21,Many changes,"Apr 28, 2021 - Site Reliability Engineer in Herndon, VA",5.0,great work life balance lots of great people Dept is changing for the better,can be very stressful high turnover,Be the first to find this review helpful
22,22,Nice company,"Apr 28, 2021 - Software Engineer in San Francisco, CA",5.0,"Nice culture, Free Food, Nice package","No refreshers, boring work sometimes",Be the first to find this review helpful
23,23,Good place to work,"May 12, 2021 - Senior Systems Engineer in San Francisco, CA",4.0,"Flexible, good benefits, good pay, good CEO",a little higher rotation on upper management.,Be the first to find this review helpful
24,24,Overall good company.,"May 12, 2021 - Software Engineer in San Francisco, CA",4.0,Very human centric and equality focus culture.,In some groups frequent re-org can lead to relationship resets.,Be the first to find this review helpful
25,25,Its a great company,"May 12, 2021 - Systems Specialist in Hillsboro, OR",4.0,Flexible timing Good salary Good workplace Good work environment Great team,Lot of overtime work Offices still closed,Be the first to find this review helpful
26,26,Great place to work,"Apr 27, 2021 - Global Account Director in Cincinnati, OH",5.0,"Great product and people, great place",All about selling all the time,Be the first to find this review helpful
27,27,Amazing place to work,"Apr 27, 2021 - Senior Solution Engineer in New York, NY",5.0,After 6 months of being here I can confidently say this is the best place I've worked,Large organization obviously so can be a little bureaucratic,Be the first to find this review helpful
28,28,Good,"Apr 27, 2021 - Anonymous Employee",5.0,They have good work life balance,None for me to point out,Be the first to find this review helpful
29,29,"Good place, great benefits","Apr 27, 2021 - Corporate Finance",5.0,The benefits were really good,Large organization that can feel siloed,Be the first to find this review helpful
30,30,Above average,"May 11, 2021 - Senior Program Manager in San Francisco, CA",4.0,Great salary and work life balance,Not as perfect as outside impression,Be the first to find this review helpful
31,31,BDA paid more than SDR/BDR,"May 11, 2021 - Business Development Associate (BDA) in Indianapolis, IN",4.0,Snacks and selling Salesforce is simple,Terrible place for out of college sales jobs,Be the first to find this review helpful
32,32,Great co,"Apr 26, 2021 - Associate in San Francisco, CA",5.0,"Good culture, nice people, great career launcher",Need to have more of a work hard play hard mentality,Be the first to find this review helpful
33,33,Excellent,"Apr 26, 2021 - Account Director in Charleston, SC",5.0,Great environment to work in,Nothing really bas to say here,Be the first to find this review helpful
34,34,Great company to work for,"Apr 27, 2021 - Analyst in San Francisco, CA",5.0,Great culture and great employees,Constant change keeps you always learning,Be the first to find this review helpful
35,35,Account Executive,"May 10, 2021 - Account Executive in New York, NY",4.0,Great culture and a good environment to grow and sharpen skills.,micromanagers. Not enough selling more account managers.,Be the first to find this review helpful
36,36,Business Development Representative,"May 3, 2021 - Business Development Representative in Chicago, IL",3.0,Great company. Opportunity to grow. Ability to travel for work. Customer events and so on.,Lacks the diversity they tend to portray online.,3 people found this review helpful
37,37,Sales,"May 9, 2021 - Sales",3.0,one hour for lunch break,long hours standing on feet,Be the first to find this review helpful
38,38,Gaslighting,"Apr 8, 2021 - Director of Infrastructure in San Francisco, CA",2.0,"I worked with some really cool people, some really smart people.","This is a severely toxic organization - reorgs and a lot of political fighting, posturing and sabotage between the VPs as they try really hard to get noticed by the EVPs. What's worse is that it appears that the HR folks are either powerless and so they go along or they are in on it. Several coworkers described experiences of being horribly berated by hatchet folks in HR based on ""complaints"" that HR would not clarify or explain. They described being pulled onto phone calls and told they have to ""apologize for what you did"", and when asked what they were talking about, would be told ""it's impossible that you don't know what we're talking about and if you don't then it's even worse than we thought."" Some have hypothesized this is how Salesforce rattles employees they, for whatever reason, decide they want to leave ( inside scoop indicates this is another maneuver by some VPs to create ""opportunities"" to shape an org the way they want when they get key folks to self-select out) but have no reason to push them out or worse yet, the employees were actually considered high performing by prior managers. I highly recommend anyone considering Salesforce to stay away unless it is the best you can get because its a huge company, if you get on the wrong side of just about anyone it could get really bad for you and there is nothing you can do.",24 people found this review helpful
39,39,Amazing Culture,"Apr 23, 2021 - Business Development Associate in Atlanta, GA",5.0,"Compensation, culture, team with similar work ethic",can't think of any cons,Be the first to find this review helpful
40,40,Great company!,"Apr 23, 2021 - SDR Director in Denver, CO",5.0,"Great benefits, inspiring leaders, career longevity.","Can feel hard to take time off on your schedule - life revolves around month end, quarter end, etc.",Be the first to find this review helpful
41,41,Great place to work,"Apr 24, 2021 - Area Vice President in Washington, DC",5.0,"Challenging, always growing, always opportunity","Pressure to perform, high expectations",Be the first to find this review helpful
42,42,Great place to thrive!,"May 7, 2021 - Senior Manager Recruitment in Atlanta, GA",4.0,"High impact, great visibility, leaders you can count on.","With exceeding priorities, there is little work life balance in ES. The burn-out is real.",Be the first to find this review helpful
43,43,"Lots of company pros, but poor department leadership.","Apr 15, 2021 - Success Guide in Indianapolis, IN",4.0,"- WFH policies, extra cautious with Covid protocols - Health benefits, wellness benefits, time off - Best parent leave policies - New up to date equipment regularly - Collaborative tools I think that the executive leadership at Marc Benioff's level and direct reports have been great. Forward thinking, innovative, beginner's mind, etc.","- The senior leadership and some of the middle leaders in this department clearly does not align with Salesforce as a company. We sit in employee town halls discussing flex time and working from home, but the leadership in this department wants to micro manage their teams and press their thumbs down on everyone. This department has been watered down so much in the last several years and we constantly hear about how we need to ""lower the cost to serve"" while also trying to shove case closures down everyone's throats.",8 people found this review helpful
44,44,Good company,"Apr 22, 2021 - Business Value Services Director in New York, NY",5.0,Since acquisition they have been nothing but welcoming and supportive,Culture is taking some getting use to,Be the first to find this review helpful
45,45,Great company,"Apr 22, 2021 - Senior Business Analyst in Atlanta, GA",5.0,"Benefits, culture and office. Events and swag.",A lot of work and stress. Limited resources.,Be the first to find this review helpful
46,46,Good company especially for Junior/Mid level career,"May 6, 2021 - Engineer",4.0,"Good work culture & pay, benefits.",Tech & codebase is old and difficult to change,Be the first to find this review helpful
47,47,Demanding Sales Culture,"Jun 22, 2021 - Account Executive in Los Angeles, CA",3.0,"Benefits, wellness and diversity / inclusion are topics they are making progress on.","Stressful, high demanding Sales Organization - many times unrealistic goals like ""monthly participation"" which mean all AE's commit to bringing in a deal monthly.",1 person found this review helpful
48,48,Okay workplace,"Jul 19, 2021 - Sales Associate in Denver, CO",4.0,Okay workplace. I have been working there in 2 years an happy for it.,Okay workplace. Place to improving,Be the first to find this review helpful
49,49,Good company to work for,"Mar 15, 2021 - Security GRC manager in San Francisco, CA",5.0,"Work/life balance Good benefits - healthcare, PTO, parental leave, sick leave, frequent events and/or swag Fun atmosphere Competitive Pay","Hard to move up (but easy to move laterally) Very ""big company"" energy - hierarchical, focus on seniority",Be the first to find this review helpful
50,50,Great culture and values driven,"Mar 15, 2021 - Senior Director in San Francisco, CA",5.0,Strong values oriented leadership Culture of innovation Constantly adapting to a changing market,Benefits are less attractive than other Bay Area tech companies Internal mobility seems slow - people do the same jobs for many years,Be the first to find this review helpful
51,51,Unique Experience,"Jul 23, 2021 - Lead Solutions Engineer in San Francisco, CA",4.0,Lots of good resources to build a career on,Too many products and life as core solution engineer is demanding,Be the first to find this review helpful
52,52,"Get in, learn fast, and get out quickly!","Jun 16, 2021 - Technical Support Engineer Tier II in Hillsboro, OR",2.0,good product experience and market demand,"Too many changes from management, added work for no raise, and average team.",2 people found this review helpful
53,53,Amazing company! Great values,"Apr 12, 2021 - Operations Analyst in San Francisco, CA",5.0,"One of the best places to work at, amazing culturr","Positivity bias, data driven, too much snacks hahaha",Be the first to find this review helpful
54,54,one of the best companies to work for,"Apr 1, 2021 - Operations",5.0,"innovative, philanthropic and very inclusive & diverse culture",the larger it gets - hard to keep that entrepreneurial culture going,Be the first to find this review helpful
55,55,I can finally be myself here,"Apr 19, 2021 - Lead Solution Engineer in Washington, DC",5.0,- Good pay - Good benefits - Talented people - Plenty of ways to give back to your community -Great resources for training,"- Onboarding during COVID-19 has been weird and difficult, but they are doing their best given the limitations - There are many meetings. My advice is to always take control of your calendar - RSU refresh is rare from what I hear - Internal move can be difficult, but not impossible with some strategic networking - The senior management still lacks diversity but the company is working on it",Be the first to find this review helpful
56,56,What more could you ask for?,"Apr 19, 2021 - Lead Solution Engineer in Dallas, TX",5.0,"They care about your work/life balance. They pay very well. They care about their managers through how their direct reports are doing. They care about you as an employee. They appear woke, but are generally respectful to those who are not. They are continuously working on their processes that need work (constantly sending out surveys and requesting blunt opinions). They even have us actively working on self improvement and advancement, even if it's lateral.",There are no downsides... No cons!,Be the first to find this review helpful
57,57,Great company,"Apr 19, 2021 - Anonymous Employee",5.0,"High growth, strong culture, innovative","Getting large, which is both positive and creates some challenges",Be the first to find this review helpful
58,58,Strong Innovative Company,"Apr 19, 2021 - Vice President Product Management in Chicago, IL",5.0,"Great culture, training and career growth. Very focused on innovation and open to new ideas.",At the time there was a lot of travel and offsite meetings. As the company gets larger more red tape.,Be the first to find this review helpful
59,59,architect,"Apr 19, 2021 - Senior Technical Architect in San Francisco, CA",5.0,Great place to work #2,there is nothing very specific. but very fast-growing and innovative company,Be the first to find this review helpful
60,60,Salary,"May 3, 2021 - Senior Account Executive in Tampa, FL",4.0,Benefits are great for ee and family,Expectations change daily and yearly,Be the first to find this review helpful
61,61,,"May 3, 2021 - Senior Director in New York, NY",4.0,Strong culture and great leadership,Can be a little chaotic and disorganised at times.,Be the first to find this review helpful
62,62,"Good Company, Great Benefits, Grind it out","May 3, 2021 - RVP - Sales in Irvine, CA",4.0,"Strong benefits, support for family planning, great peer network, good accelerators","Tough leadership, grind to hit growth expectations",Be the first to find this review helpful
63,63,Too Many CSAT Issues -- Company Culture is also Overly Political,"Apr 30, 2021 - Commercial Account Executive in Irvine, CA",2.0,Reputable brand and CRM product,"Too Many CSAT Issues, Company Culture is also Overly Political",3 people found this review helpful
64,64,I liked the company,"May 4, 2021 - Manager",2.0,good environment to work for,management is poor to work,Be the first to find this review helpful
65,65,Amazing Place to Work,"Mar 25, 2021 - Account Executive in Chicago, IL",5.0,Amazing place to work ! Love it here.,Getting big really quickly. Internal cases are a bit of a pain when you need quick help or clarification.,Be the first to find this review helpful
66,66,A company that is really trying,"Apr 9, 2021 - Innovation Consultant",5.0,"Thoughtful execs, strong responsiveness to employees and customer focused",Marketing is out in front of product,Be the first to find this review helpful
67,67,Salesforce BDR Salary,"Mar 29, 2021 - Business Development Representative in Dallas, TX",5.0,"Great training program on sales, Relationship focused",SO MANY RESOURCES AND NOT SURE HOW THEY ALL PLAY INTO THE JOB,1 person found this review helpful
68,68,Its Marketing,"Jun 9, 2021 - Solution Architect in San Francisco, CA",2.0,On the surface appears to have great company values and commitment but internally its all a smokescreen,"Toxic, back biting, gossip, no one can say the emperor has no clothes, completely subjective",7 people found this review helpful
69,69,BDT with the new Salesforce Start Program,"Dec 31, 2020 - Business Development Trainee",5.0,"Fantastic company culture, great opportunity to learn the Salesforce platform hands-on while also becoming a Salesforce Certified Administrator. Solid pay for a very entry-level/intern position. Great team members, and the program administrators seemed to genuinely care about the participants' success and career advancement.","New program had some minor bumps, but was generally great. I believe the program could be improved by extending the time frame by several months.",Be the first to find this review helpful
70,70,Amazing Place to Work,,1.0,"Great people, benefits, environment, flexible schedule, competitive pay",I don’t have any cons,Be the first to find this review helpful
71,71,Great company to work for,,5.0,"Family, culture of giving, supportive.","High pressure, demanding, very big",Be the first to find this review helpful
72,72,Great benefits,,4.0,Lots of perks for employees,Lack of integration with acquisitions,Be the first to find this review helpful
73,73,Strong Pay,,4.0,very nimble group and collaborative,a fair amount of internal backstabbing,Be the first to find this review helpful
74,74,Sweet gig,,4.0,Stability and big company feel,Big company politics take over the fun,Be the first to find this review helpful
75,75,Great company culture and truly great performance rewards!,,5.0,"Great culture, great opportunities for entry level Product Managers to build REAL impact rather than menial maintenance tasks, great mentorship programs and learning growth support and great financial packages + performance review salary increase","Does not have automatic annual stock refresh option but have base pay increase option based on performance every year, number of junior roles especially in Product Management are very very scarce, mis-matched networking opportunities for APMs hired with the program versus the ones hired outside the program.",2 people found this review helpful
76,76,I'm going back to work for this company again.,,5.0,"Career advancement, Ohana culture, benefits",None that I can think of. I'm actually going back to work for them again.,Be the first to find this review helpful
77,77,Great place to work,,5.0,I love it great place to work,None that I can think of,Be the first to find this review helpful
78,78,Amazing company! Great values,,5.0,"One of the best places to work at, amazing culturr","Positivity bias, data driven, too much snacks hahaha",Be the first to find this review helpful
79,79,"Great Company, Wonderful People",,4.0,"Great People, Cutting Edge Technologies, Good balance of work-and-life.",Culture (Ohana) has been severely impacted by hiring people exclusively from Microsoft !,Be the first to find this review helpful
80,80,Getting Bloated,"Apr 20, 2021 - Value Engineer in Chicago, IL",4.0,"Great leadership team and very fast-paced company to work for. They do listen to employees, treat us well, and try to do the right thing.",Career paths through the company are really hard to navigate. With the large-scale M&A the company has tons of nooks and crannies.,1 person found this review helpful
81,81,"Great company, poor HR team","Mar 29, 2021 - Business Developer Manager in San Francisco, CA",5.0,"Amazing opportunities to learn, network, and grow.","Terrible HR/ES team. They refuse to be transparent with your employee grade level and don't give real raises for internal promotions, especially if you're in sales.",3 people found this review helpful
82,82,Great company,"Apr 8, 2021 - Software Engineer",5.0,Awesome culture and focussed management,Too big. You don't know 99.99% of the people.,Be the first to find this review helpful
83,83,,"Apr 22, 2021 - Security Manager in New York, NY",4.0,"Best work place, family friendly, ohana, competitive","Not applicable, Not applicable,Not applicable,",Be the first to find this review helpful
84,84,Good,"Apr 22, 2021 - Account Executive in Boston, MA",4.0,Good work life balance and culture,Quota can sometimes be hard,Be the first to find this review helpful
85,85,Great,"Apr 22, 2021 - SMTS Software Engineer in New York, NY",4.0,"Great work life balance, great managers","Slow development cycle, no room for promotion",Be the first to find this review helpful
86,86,Sales Review,"Apr 20, 2021 - Account Executive in Chicago, IL",4.0,Truly Modern and Progressive culture driven from the top down Abundantly talented and intelligent people on every team Products/Solutions objectively lead or excel in every category,"1. Month-end results internal culture in an externally quarterly results driven business. Resulting in: - Disingenuous messaging - Constant emphasis on short vs. long term - Burn out 2. Company wide culture of people who say they are always open to help and collaborate publicly, but in actuality only make themselves available when it suits/benefits them personally",1 person found this review helpful
87,87,Amazing Culture,"Apr 4, 2021 - Solution Engineer",5.0,-Flexible Hours -Great Company Culture -Volunteer Time Off,-Hard to define responsibilities -No calendar control -PTO can be hard to schedule during EOQ,1 person found this review helpful
88,88,Great place to work,"Apr 7, 2021 - Sales",5.0,Great people and great technology,takes hard work but it is rewarding,Be the first to find this review helpful
89,89,Good,"Apr 21, 2021 - Senior General Manager in Marlborough, MA",4.0,Pay is very good all around,Balance and work life is very hard,Be the first to find this review helpful
90,90,Amazing,"Apr 7, 2021 - BDR in New York, NY",5.0,Great network. They put the employees first,I haven't found one here.,1 person found this review helpful
91,91,Great place to work,"Apr 5, 2021 - Project Manager in San Francisco, CA",5.0,"Great people, innovative culture, driven by customers and community",Built thru acquisitions of disparate products,Be the first to find this review helpful
92,92,"Wonderful Culture, Can get lost in it's mission.","Dec 17, 2020 - Senior Customer Success Manager in Atlanta, GA",5.0,"Culture, Benefits, Work/life Balance, Co-Workers.",Typical large Company downsides. They like to focus on their mission but sometimes the messages get lost in all of the corporate speak.,Be the first to find this review helpful
93,93,"If you are in bay area, the the the best company to be in!","Feb 10, 2021 - Anonymous Employee",5.0,"Uses state of the art technologies, best work life balance, women in leadership, avg work span of employee here is at least 5 years.",didn't find any major ones in my 3 years here,Be the first to find this review helpful
94,94,"Incredible team, complex company","Jul 23, 2021 - Innovation Executive in San Francisco, CA",4.0,"Really wonderful, creative, invested teammates",Re-orgs amidst a chaotic year,Be the first to find this review helpful
95,95,Review,"Apr 14, 2021 - Salesforce Developer in Lincoln, NE",5.0,It is a great work place environment,Not cons at this time,Be the first to find this review helpful
96,96,"Good company culture, slow growth path","Jun 24, 2021 - Associate Solutions Engineer in Chicago, IL",4.0,"Learn a lot, fast. Great networking Friends outside of work","Long growth path, very slow Favoritism for promotions Encouraged to work overtime regularly, very demanding job",1 person found this review helpful
97,97,Best company I have worked for,"Mar 29, 2021 - Senior Director Marketing in San Francisco, CA",5.0,"Strong values, great people, amazing work atmosphere, solid culture.",None that I have experienced so far.,Be the first to find this review helpful
98,98,Good place to work,"Apr 5, 2021 - Member Of Technical Staff in San Francisco, CA",5.0,Fun place to work recommend to others,Lots of meetings but not terrible hours,Be the first to find this review helpful
99,99,Great place to work,"Apr 3, 2021 - Software Developer in San Francisco, CA",5.0,Compassionate and progressive company with smart and dedicated workers,I have nothing bad to say,Be the first to find this review helpful
100,100,Good Place to Be,,4.0,Environment/people/culture really is the best (the most open & the least corporate you'll get in corporate America); Pay is top notch; Decent amount of sideways/upward mobility; Job/company is veryyy social (pre-pandemic),Consistent unexpected changes; feels like one big startup; Heavy focus on 'building your brand' internally (almost is apart of your job); Work life balance is alright,Be the first to find this review helpful
101,101,Demanding but rewarding,,5.0,"Great Benefits, Great People, Great Culture",Sales at Salesforce is one of the most difficult jobs on the planet,1 person found this review helpful
102,102,Sales,,4.0,Really great culture and great training resources provided when you start the role.,Their internal promotion path can get a bit tricky when you've worked for the company from the start but have to go against someone external. Also we need more diversity in our sales organization.,2 people found this review helpful
103,103,Meh,,3.0,It seems like all of the other teams are organized and thoughtful. benefits are great.,This was a dream job but the facilities team just was absolutely awful to work for.,Be the first to find this review helpful
104,104,Solution Engineer,,5.0,"Time off, VTO, WFH, wellness",Promotions can be really political,Be the first to find this review helpful
105,105,Great company,,1.0,"Learning constantly, every single day","Grind is sales! But, you learn every day.",Be the first to find this review helpful
106,106,Fantastic Culture,,1.0,Great benefits. The company “walks the walk” regarding core values. Employees feel valued.,Not many. Most would be nit-picking.,1 person found this review helpful
107,107,Great place to work,,5.0,Compassionate and progressive company with smart and dedicated workers,I have nothing bad to say,Be the first to find this review helpful
108,108,A great place to work.,,4.0,Opportunity to gain experience helping amazing customers,High pressure to earn certs while maintaining utilization targets.,1 person found this review helpful
109,109,"Great WLB, Poor corp culture",,3.0,WLB is great Pay for the first 4 years is decent Very free with extra days off for software engineers,"Corporate kool-aid is very strong/cult-y Top leadership is not open, honest, or transparent",Be the first to find this review helpful
110,110,Great place to work,,5.0,Very considerate onboarding process. Candidate gets time to self-study and pick up requisite skills to do the job. Lot of resources available at your fingertips.,Can sometimes be frustrating as you have no one specific to talk to at times on a day-to-day basis. You have to quickly find your cohorts who are in the same stage of your journey.,Be the first to find this review helpful
111,111,BDR,,4.0,a lot of benefits and a solid starting salary,can be a very stressful environment,Be the first to find this review helpful
112,112,Salesforce BDR Salary,,5.0,"Great training program on sales, Relationship focused",SO MANY RESOURCES AND NOT SURE HOW THEY ALL PLAY INTO THE JOB,1 person found this review helpful
113,113,Fake culture at Salesforce,,2.0,"good benefits & ""fun"" virtual events","The culture is extremely fake. A lot of politicking and constantly being told to ""stay in your lane"". I'm not sure why this company is always in the top list on glassdoor when it's clear they don't truly care about their employees. They care about the work produced, not your psyche nor your well-being.",8 people found this review helpful
114,114,Good Company,,5.0,"Decent benefits, Awesome work life balance, talented colleagues",Trying to follow other consulting companies.,Be the first to find this review helpful
115,115,one of the best companies to work for,,5.0,"innovative, philanthropic and very inclusive & diverse culture",the larger it gets - hard to keep that entrepreneurial culture going,Be the first to find this review helpful
116,116,"Great Benefits, But Large Company",,4.0,Incredible people who value innovation and work-life balance,Large company. Difficult to get things done and a lot of red tape,Be the first to find this review helpful
117,117,Solution Architect,,4.0,"Progressive culture, ESPP, 401k, RSU",Less opportunity to move laterally to different parts of company,Be the first to find this review helpful
118,118,Solid,,4.0,"Stable, growing, dow Jones, competitive","Large, slow, traditional, typical, predictable",Be the first to find this review helpful
119,119,Useful Experience,,3.0,Great place to learn and get professional experience,I don't have any cons,Be the first to find this review helpful
120,120,Great company,,5.0,Lots of perks and comoetituve pay,None that I can think of,Be the first to find this review helpful
121,121,Great place to work,,5.0,growth and customer focus company,decentralized management has its downsides,Be the first to find this review helpful
122,122,Solid gig - interesting role,,5.0,Nice working on big accounts,You are not in the drivers seat,Be the first to find this review helpful
123,123,Values I Believe In,,5.0,The company cares about it's employees and strives to do the right things for them.,"As an individual contributor, it's hard to see an impact due to the size of the company.",Be the first to find this review helpful
124,124,Good people for such a huge company,,4.0,Jackass-free work environment in engineering. Upper management seems genuine about their concern for employees.,"It's such a big company, it's tough to feel like any particular area moves the needle.",Be the first to find this review helpful
125,125,Great company,,5.0,Worked for a great company,No cons to mention at this point,Be the first to find this review helpful
126,126,Love SFDC,,5.0,"Transparent leadership, intelligent coworkers, amazing management, top of the line benefits",There's nothing to complain about,Be the first to find this review helpful
127,127,Best company I have worked for,,5.0,"Strong values, great people, amazing work atmosphere, solid culture.",None that I have experienced so far.,Be the first to find this review helpful
128,128,tough but fair,,5.0,"can make a lot of money, but it's not always easy!!","hard work, can be long hours",Be the first to find this review helpful
129,129,Big Company - cog in the wheel,,2.0,Good Products from a CRM Perspective,"Salesforce is now so big they forget about what makes them special. Besides the cartoon characters and drinking Kool-Aid on how great they are, they are creating Robots to bring in revenue.",4 people found this review helpful
130,130,AMAZING PLACE TO WORK,"Jun 25, 2021 - Account Executive in Indianapolis, IN",4.0,"Everything. Industry Leader, great product to sell, and you get to work with great people",Upward mobility was difficult to chart a path,Be the first to find this review helpful
131,131,Doesn't Live Up to the Ohana Culture,"Nov 1, 2020 - Strategic Account Manager in New York, NY",2.0,"Great internal tools for mapping through a sales campaign (using our own CRM), very fast paced environment, and better than average pay.","Poor mentoring program, all the product sales specialists have been eliminated so the onus is now on the Core salespeople to run all product sales cycles, definitely a backstabbing environment where instead of working through issues directly with individuals the norm is to go straight to their boss first and create a contentious relationship, the sales goals are not attainable (especially in light of COVID-19), and there is a complete misunderstanding of how enterprise accounts buy versus commercial accounts.",6 people found this review helpful
132,132,Great Place,"Mar 17, 2021 - Success Specialist in Indianapolis, IN",5.0,"Very flexible, great culture and a lot of nice perks and benefits",Difficult to change career path,1 person found this review helpful
133,133,Great company,"Apr 5, 2021 - Account Executive",5.0,I love to work here,"no to say, this is great",Be the first to find this review helpful
134,134,"Great products, vision and leadership","Mar 27, 2021 - Senior Director, Business Operations in San Francisco, CA",5.0,"Competitive compensation, benefits, growth opportunities.",Intense and sometimes overwhelming work pace and culture,Be the first to find this review helpful
135,135,Great Company!,"Mar 3, 2021 - AMTS Software Engineer in San Francisco, CA",5.0,It has a great work life balance culture,It builds a lot of tools internally so employees can sometimes not get exposed to the newest technologies outside the company.,Be the first to find this review helpful
136,136,Great experience,"Mar 28, 2021 - Customer Success Guide",5.0,"Great befits, great people and an all around great culture",None that come to mind,Be the first to find this review helpful
137,137,Crippled by bureaucracy,"Jul 9, 2021 - Anonymous Employee",3.0,Salesforce pays above market price,"Too big, little clarity from leadership, politicking and red tape",Be the first to find this review helpful
138,138,"Great at some things, not so much others","Jun 29, 2021 - Principal Systems Engineer in Oregon City, OR",3.0,"Good work/life balance, flexible; a lot of smart peers","Difficulty managing tech debt, cross-team issues difficult",Be the first to find this review helpful
139,139,salary,"Jul 18, 2021 - Sales Manager in Virginia Beach, VA",3.0,number of year : sales experience,"convenience, professional, dynamic, times, adaptable",Be the first to find this review helpful
140,140,Great Company!,"Mar 16, 2021 - Business Development Representative in Dallas, TX",5.0,"Great people, benefits and career opportunities","Big company, sometimes processes are put in place by upper management that don't make sense",Be the first to find this review helpful
141,141,I love where I work!,"Mar 16, 2021 - Account Executive in San Francisco, CA",5.0,"Company Culture, Career progression, training, and work life balance",Lower base salary than similar jobs on the market,Be the first to find this review helpful
