,topic,usage situation,type of business,review date,overall rating,review,number of accounts used,effects after introducing the service,rate ease of use,rate helpfulness,rate customizability,rate functional satisfaction,rate service stability
20,タスクの管理が容易に、また分かりやすく出来ること,using,Retail/distribution/trading companies,2022-05-30,3,まだ使用を開始して期間が短いため、分からない部分もあり採点が難しいです。入力については分かりやすく、使用者からの不満も聞かれません。期日の管理ももれなくできて良いと感じています。,>31-50,人事制度管理を主目的に導入を進めました。これまで紙での管理でしたが、電子化により見やすく、記入が簡素化されました。また、期日管理もしっかりできるのがメリットです。,3.0,3.0,3.0,4.0,3.0
21,営業活動の必須ツール,using,IT related Service,2022-05-29,5,"どこからでもアクセス可能な点で、外出先からでも営業活動の状況を確認できるため、商談前など大変便利に使えるため。
営業担当ごとのアプローチ状況なども確認できるので、効率よく営業活動が行えます。",>31-50,"営業活動の日報を以前メールで行なっていたが、システムで一元管理が出来るので、確認が容易となり、効率的な営業活動を行えるようになりました。
また、予実管理や進捗状況の可視化も出来るので、営業活動においての必須ツールだと思います。",5.0,4.0,4.0,5.0,4.0
22,営業情報共有ツールの定番,using,IT related Service,2020-09-10,4,社員が多い当社においては得意先アプローチ情報の共有が容易ではなく、このような情報共有ツールは必要不可欠となる。Salesforceはこの分野において歴史が古く、安定しており洗練されているため使いやすい。,>1000,10000人近く所属している社員同士の情報共有が容易にできる。アプローチしたい得意先に関する情報が検索でき、担当部署と事前にすり合わせができるメリットは大きい。,3.0,3.0,4.0,4.0,4.0
23,案件管理が細かくできます,using,IT related Service,2022-05-26,4,契約予定日や、確度も記入できるため、時期ごとに何をやるべきかを可視化することができます。案件が複数あり、一つ一つ覚えていられない営業にとっては、クラウド上で管理して記憶する必要がなくなります。,2-10,Chatterという日報のような機能により、直属の上長だけでなく、課のメンバーや他の課のメンバーも案件を確認できるため、参考になります。また、コメント等の機能により意見交換もできるのが良い点です。,4.0,4.0,4.0,4.0,4.0
26,使いやすいものではある,currently not using,Finance/Insurance,2022-05-19,3,前職の職場で利用されており、会社全体で共有するものなので、セキュリティはしっかりしていると思う。いろんな支店の作業なども見れたため、共有という観点では素晴らしいと思う。,>1000,会社のセキュリティ改善と上司の管理体制強化のために導入していました。これまではヒアリング、紙ベースのものをデータとして残すことで統計なども取れて効率化を図れていたと思う。,3.0,5.0,5.0,5.0,5.0
27,顧客情報を一元管理、コールセンター業務にも対応,using,Mass Media/Advertising/Design/Game/Entertainment,2022-05-15,4,顧客情報を組織全体で管理できることで従来顧客情報の共有のために行っていた伝達作業を大幅に減らすことができ、より効果的で生産性を高めた営業活動を行うことができます。各部門の連携がとりやすくなるとともに目標に向けて一体感も生まれました。,>101-200,コールセンター業務をMiitelと連携して行っていますが、Salesforce側がMiitelとの連携を取りやすくするアプリを提供してくれているので使いやすいです。Salesforce上にてMiitelで録音された会話の再生や応対評価の確認が可能で画面遷移の回数が減ります。,4.0,4.0,5.0,4.0,5.0
28,CRMとして営業マンには最適,using,Food and Leisure Service,2022-05-11,4,"自分やチームを含めて営業の状況を一瞬で可視化できる点
一つの画面上で対象企業に対するこれまでのすべてを確認することができる点
オンラインストレージや電子契約など他社サービスとの連携がシームレスである点",>1,"様々な場所で管理していた情報を一元管理できるようになった点
→エクセルにて顧客情報、進捗管理・オンラインストレージにてファイルの管理・電子契約サービスによって契約書の管理のようにいろいろな場所に散っていた情報を一元管理することが可能になることで抜け漏れやミスが格段に減らすことができた。",3.0,4.0,5.0,3.0,3.0
29,カスタマイズ性も高い,using,Consulting Service,2022-05-09,4,"個別にイベント参加者、直近のCV内容などに基づいて、フラグなども作成することが出来るので、個別最適なAPを行うことが出来る。
カスタマイズ性も一定高いのではないかと思います。",>11-30,"リード管理が一元化でき、他部署と案件の共有を行う際の工数が削減できた。
また、アタックすべきリードの可視化を行うことが出来、先方からのコンバージョンがあった際に、もれなくISから対応を行うことが出来るようになった。",3.0,5.0,4.0,4.0,4.0
30,商談、案件情報、顧客管理など見やすくビジュアライズ,using,IT related Service,2022-05-08,4,チーム毎や部門毎、個人の売り上げをそれぞれ分割してチェック、そして営業のプロセス、商談情報、顧客情報などを収集、蓄積することで営業の成功と失敗の原因が見えてきて、以降の営業や商談に活かすことができます。ワークフローや権限管理など会社のスタイル合わせて柔軟に設定できるのもグッドです。,>31-50,それまで属人性の高かった顧客情報、案件情報などチームの全員が見ることができるようになったので顧客や案件の引き継ぎが非常に楽になり情報の共有によってチーム内の透明性も向上できました。,4.0,5.0,4.0,4.0,5.0
31,顧客管理とマーケティングの一体化,using,Food and Leisure Service,2022-05-06,4,お客様への連絡、顧客管理、マーケティングが一つのサービスで行うことができたため非常に効率化することができたのと、顧客管理のクオリティーが上がり営業件数が全体で伸びました。,301-500,今まではお客様に連絡をして個々で管理をしていたのですが、このシステムを導入することによりお客様への連絡、顧客管理、マーケティングに必要な数値分析が可能となりました。,3.0,5.0,5.0,4.0,4.0
32,営業進捗を他のメンバーと共有可能,currently not using,Consulting Service,2022-05-02,5,今までスプレッドシートで管理していた営業進捗管理をツール上で行うことにより、決められたフレーム内での作業となり入力効率がアップした。また、データの上書きなど操作ミスも発生せず効率UP,>51-100,他のメンバーが休みの日など代わりに対応をすることも可能。また退職時なども履歴を残すことで引き継ぎが簡素化された。,5.0,5.0,5.0,5.0,5.0
33,カスタマイズが自由自在に可能,using,IT related Service,2022-04-30,4,自分自身が管理したいことや分析したいデータをありとあらゆるKPIの観点より見ることが出来るのでその点は極めて優秀だと感じました。また年3回バージョンアップされ新しい機能がすぐに追加される。,>1,これまで個人でしか管理していなかったデータがシステム導入に伴いチーム内の広い範囲で情報の教諭が可能になり担当が休んでも出勤している職員が対応できるようになりとても助かっています。,4.0,5.0,4.0,4.0,5.0
34,データの管理・収集がしやすい,using,IT related Service,2022-04-29,4,ページ内の項目や機能のカスタマイズがしやすいため、データの管理がしやすい。また、見栄えもよい。データをエクセルの一覧で出力することもできる。一方でサポートが手厚いとは言えない。,>51-100,売上情報だけでなく、顧客情報管理の一元化に一役買っているように感じている。ユーザーが機能のカスタマイズできる裁量が大きく、やりたいことを実現しやすい。業務効率化につながっている。,4.0,5.0,5.0,5.0,3.0
35,高機能だがコストが高め,currently not using,IT related Service,2022-04-26,3,"営業活動履歴や顧客情報などの各種情報を一元管理することが出来とても便利でした。
チーム内のデータを集約して定業進捗の可視化や取引相手の傾向分析など非常に多くのデータの分析が出来集計データをグラフ化にもできる点はとても優秀でした。",>1,以前はグーグルスプレッドシートを使用し個人で管理していたデータをシステム導入によりデータを蓄積させチームで活用できるようになりました。特にレポート機能を活用し売り上げの実績や予想をすぐに色々なセグメントで分析出来より正確な営業戦略を立てることが出来とても便利でした。,4.0,4.0,5.0,4.0,4.0
36,会社ごとにカスタマイズでき、希望のレポートがすぐに出せる,using,IT related Service,2022-04-25,5,"あらゆる組織で当システムを利用してきましたが、利用用途が最適化されている気がします。
おそらくシステム導入する際に、Salesforce様が良い提案をしてくださったのだとろうと想像しています。",>1000,"レポートなどをエクセルで管理していた時は、毎日紙とペンを持って「今誰に連絡をした」「次はいつ連絡をする」「本日は何人に連絡した」などを書き、終業後にエクセルに転記していた。
Salesforceを導入することによって、数クリックでその作業が完結し、さらにリアルタイムで他の人に共有できるようになりました。
マネジメント側としても最適なシステムだと思います。",5.0,5.0,5.0,5.0,5.0
37,ナレッジの共有や担当営業の引継ぎについて,using,Manufacturer/manufacturing system,2022-04-25,2,"現場にはある程度の理解力と操作性などが多く求められることが多く、構築に大変苦労している。
今現時点でも再構築をしている状況で自社内だけでの実装は厳しい。
今後はパートナー契約を結ぶ予定となっており、費用がかかるシステムである。",>101-200,営業内部で担当の入れ替えが多く、その都度引継ぎが困難なことが明らかになっていた。また、若手社員の育成にもこのツールを用いて図っていきたいと狙いもある。,2.0,2.0,4.0,3.0,3.0
38,【営業を科学するという文脈では必要不可欠ツール】,using,IT related Service,2022-04-25,3,"Pardotとの連携も容易であり、リードの取り入れもしやすいため。
料金が高額であるという点がネックではありすべての企業にとって運用しやすいか？は正直微妙であるが、セールスを化学するというSFの理念に共鳴できる会社であれば間違いなくお勧めできる。",301-500,一番、商談のフェーズ管理のしやすさと可視化であると思う。お客様の状況残すことでその状況が引き継ぎの際にも活用されるなどなくてはならない存在になっている。,5.0,5.0,5.0,5.0,5.0
39,リアルタイムに分析可視化できるツール,using,IT related Service,2022-04-24,4,事前の設定や社内ルールを統一しなければ、綺麗なデータ統制がとれませんが、データの可視化はしやすいツールです。また、細かい粒度で好きな形に且つリアルタイムに把握できるので機能は非常に優れています。,>51-100,誰がどういった動きをしているか、簡単に可視化が出来るため、分析しやすいです。良いところを伸ばすために必要なツールだと思います。,3.0,5.0,5.0,5.0,5.0
40,日本語バージョンが欲しかった,currently not using,Manufacturer/manufacturing system,2022-04-22,4,顧客苦情処理進捗度を含めた顧客情報のすべてを、海外従業員を含むユーザー全員が閲覧できるので便利でした。それ以前はＳＡＰを使用していましたが、全員にSAPの使用権限があるわけではないので、結局Eメールも併せてやりとりを行わなくてはならなかったので、連絡業務が簡素化できました。,>101-200,外資系メーカーのカスタマーサービス部門にて苦情処理をメインの仕事にしていたのですが、本国とのやりとりが簡単にでき、顧客ランク、顧客情報、売上履歴、営業担当者氏名等、他の資料をあたる必要もなく把握できるため、一元管理に優れていると感じました。,3.0,4.0,4.0,4.0,4.0
41,営業支援と顧客管理を組み合わせた最強ツール！,using,IT related Service,2022-04-21,4,"顧客情報を商談の進捗状況と紐付けて包括的に管理ができるツールです。
セールス情報自体はクラウドに保存されるので、チーム内で閲覧・共有ができたり、商談の進捗状況を登録・編集できる。",>31-50,セールス情報と商談の進捗情報を包括的に共有が可能なので、所属部署やプロジェクトチーム全体で情報共有し、連携を強化した状態で、新たな商談に臨む事ができる為、セールスに対するモチベーションアップにも繋がる。,4.0,5.0,4.0,4.0,4.0
42,営業の仕事の管理を一つにまとめられる,currently not using,Manufacturer/manufacturing system,2022-04-20,4,顧客管理、日報、契約書管理、KPIなどをひとつにまとめて管理できるのがよかったが、その分入力項目が多くルールも煩雑で、覚えるのにとても苦労した。間違えると訂正するのも大変だった。,501-1000,業務管理に複数のツールを利用しており、連携が複雑になっていた。Salesforceを導入してひとつで管理が可能になり、営業の進捗管理やレポート出力の時間が非常に短くなった。,4.0,5.0,5.0,5.0,4.0
43,取引先ごとの案件、連絡先や進捗管理、すべてこれでできます。,using,IT related Service,2022-04-20,5,顧客管理のプロセスに必要な機能がほぼ揃っていて、カスタマーサクセス、顧客のリードや取引先との商談などを可視化することができ、補う点や重視する点が分かることで営業効率が上がりました。,>101-200,資料制作に充てる時間を削減できたほか、退職や長期休暇の引き継ぎの際に顧客情報の共有を素早く的確に行うことができます。,5.0,4.0,4.0,4.0,4.0
44,リモートワーク時の生産性管理にも,using,Food and Leisure Service,2022-04-20,5,遠隔地でも営業部隊の活動が数値化できる。営業成績の維持・向上だけでなく、社員の生産性管理にも活用できて重宝している。営業スタッフが顧客と交わした商談、顧客へのアプローチ資料など、目に見えない営業活動をドキュメント化して残せる。,>31-50,営業資料や案件に関する情報を周囲と共有でき、説明の時間が短縮されました。別途資料を準備しなくても、新人や人事異動してきた社員は元々のデータから自分で営業の技術を習得できました。,5.0,5.0,3.0,5.0,5.0
45,営業活動の効率化につながりました,currently not using,Retail/distribution/trading companies,2022-04-20,4,営業ノウハウの共有を行うことができたことで、営業活動の効率化や成果をあげやすくなった。チームごとに連携をとることができる。顧客情報を一元管理することができ、非常に便利。,2-10,チームで集まってきた知見をまとめて、営業活動につなげることに課題を感じていました。サービスを使うことで、営業でのノウハウの共有につながったほか、顧客情報も一元管理をすることができるようになったため、営業活動の効率化にもつながりました。,4.0,4.0,4.0,4.0,4.0
46,販売に関するさまざまな情報を見える化できます。,using,IT related Service,2022-04-17,4,導入までは分散されていた顧客情報の一元化を進めることができ、販売情報の分析、集約に役立っています。また案件毎に進捗管理が行え、他メンバーと共有できることで助け合い精神も生まれやすいです。,>51-100,複数の取引先と同時に連絡をとっていると時折名前や内容など混乱することがありましたが、情報一元化による見やすさ、また検索精度の高さから凡ミスが減りました。,4.0,5.0,4.0,4.0,5.0
47,顧客情報の一括管理ができるようになった,currently not using,IT related Service,2022-04-12,4,"これまで顧客管理についてエクセルなどで管理を行っておりましたが、今後の顧客増加を想定し導入を行いました。
一括で管理ができるうえ、営業の際に顧客情報をもとに営業活動を行うことができるようになったため。",>11-30,複数部署でのプロジェクトの際に個々で集めた顧客管理についてどのように行うかが課題であった。サービス導入後は部署関係なく顧客データの閲覧を行うことができるようになった。,4.0,4.0,4.0,4.0,4.0
48,なんでもできるSFA,currently not using,IT related Service,2022-04-11,4,カスタマイズによる拡張性が非常に強力です。基本的には自社の業務フローは変えずに、システムのほうをカスタマイズして、自社の業務に合わせていく事が可能です。ここまでカスタマイズできるSFAはほかにないと思います。,>11-30,システム開発者としてSalesforce Sales Cloudのカスタマイズの担当をしていました。大体、用意されている部品でカスタマーのニーズを満たすことができますので、非常にカスタマイズ性が高いと思います。,4.0,5.0,5.0,4.0,4.0
49,人材紹介という特殊なモデルでも対応ができた,currently not using,Food and Leisure Service,2022-04-09,4,人材紹介事業におけるSFA・CRMとして利用。人材紹介は商材・顧客に加えて、案件情報の紐付けも必要なため、一般的なSFAだと対応ができなかったが、カスタマイズを行うことで正確な進捗かんりが可能となった。また、社内独自のスコア管理機能なども全て搭載することができ、非常に満足でした。,>31-50,過去スプレッドシートで管理を行なっていましたが、従業員数が増えたことによるシートのセル上限問題や、重くて動かないなどのデメリットがありました。サービス導入後は動かない・従業員のデータ管理ができないといったことがなくなりました。,4.0,5.0,5.0,5.0,5.0
50,salesforce利用について,using,IT related Service,2022-04-04,4,"リードへの属性情報の数はカスタマイズを含めると多岐にわたり、多くの情報を紐づけれることができる。また、セールス活動や案件のアプローチをパイプライン管理することが可能なため、営業担当者1人に情報が属人化することがなくなる。
しかし、営業担当者が情報を記入することが前提のため、利用者側へ記入するメリットをいかに伝えられるかがこのサービスうを利用する肝となる。",301-500,"・営業担当者への情報の属人化排除
・案件成約の精度向上
・自社保有企業の分析
・リード管理の強化
・情報共有の強化",5.0,5.0,5.0,5.0,5.0
52,顧客管理、活動履歴を簡単に把握できる,using,IT related Service,2022-04-03,3,顧客データへのアクセスからデータの管理など、メンバー間での情報共有に役立っています。担当引き継ぎの際も、salesforceを見ればおおよそ把握することができ、一元管理にも役立っている印象です。,>51-100,"顧客管理には各営業がExcelを使ったり、情報の分断が起きていた。
導入後はクラウドツールなので、いつどこでも情報共有が出来るようになり、データの一元管理が出来るようになった。",3.0,3.0,3.0,3.0,3.0
53,マネジメンターにとって効率的な管理ツールであること,using,IT related Service,2022-03-29,5,SFA、CRMとして十分に優れている製品です。営業時には商談管理やパイプライン管理、カスタマーサクセス/サポートにおいては顧客別の対応状況やフェーズ管理など、柔軟に管理したいことが全て完結できると思います。,>11-30,"自分自身が事業部長をしているのですが、スタートアップ故、事業戦略も頻繁に改善しているため、メンバーの成果指標も柔軟に改善しています。指標改善時にはすぐに自分で、項目を作り、レポートを作り、見たいダッシュボードを作っています。
これにより、チーム内に、登録すべき指標を伝えるだけで即日で、見たい指標を見れるため即時でチームの活動や成果が可視化することができました。
この設定を外部ベンダーや、知識の低い社内別部門に依頼すると、反映まで時間がかかってしまうので、見たい指標がなかなか見れないという課題があるので、自分で設定することでチーム運営がかなり円滑になっています。",4.0,5.0,5.0,5.0,5.0
54,顧客が管理できる,using,Retail/distribution/trading companies,2022-03-23,3,"顧客がの管理は大変しやすいが、使いこなすのが難しい、
理解し、使いこなせるようになれば、営業などの顧客管理で大変大きな武器になると思う。
ただ、月額利用料が高額でアカウントを簡単に増やせなので不便だと感じています。",2-10,"営業マンの同士の行動を把握できるというのもよい点だと思います。
セールスフォースを使って営業の均一化ができています。
また社内でもお互いに管理ができるため
異なるシステムを見に行くことが少なくなり業務の効率化・改善につながっています。",4.0,4.0,4.0,4.0,4.0
55,カスタマイズできすぎて初期支援・詳しい人材が必要,using,Manufacturer/manufacturing system,2022-03-22,4,カスタマイズ機能に優れておりsalesforce製品に詳しい人材や経験のある人材がいない場合は初期設定などに工数がかかるため初期支援導入を使用したほうが効率的である。,2-10,商談管理についてExcelで手管理、管理についてルールもなかったため情報共有が難しかった。まだ道半ばであるもののマーケ部門と営業部門の情報管理がずいぶンスムーズとなった,4.0,4.0,5.0,4.0,3.0
56,詳細な顧客情報をタイムリーに管理し、商談の成立が実現します,using,IT related Service,2022-03-19,5,営業部門との顧客情報の管理とデータ管理を詳細に行い、業務の連携がスムーズに行なえます。結果として各四半期ごとの予算達成と進捗の管理が細かく行え、効率よく生産性の高い営業活動につながっています。,>31-50,業務において、エクセル作業への依存度が高かったが、セールスフォースの導入がエクセル使用頻度が減少に繋がり、より分析業務に時間を充てがうことが可能となってた。,5.0,5.0,5.0,5.0,5.0
