,topic,usage situation,type of business,review date,overall rating,review,number of accounts used,effects after introducing the service,rate ease of use,rate helpfulness,rate customizability,rate functional satisfaction,rate service stability
19,It is possible to realize the visualization of sales and establish a winning pattern.,currently not using,Real Estate/Construction/Equipment,2022-06-01,3,"By introducing this service, we were able to establish reproducibility by visualizing the so-called ""sales"" that each sales department had been working on individually until now. I also learned the winning pattern.",>11-30,"Until now, it was unclear who did business and what was the point, but this service made it clear, and the points to focus on.",3.0,3.0,3.0,3.0,3.0
20,Easy and understandable task management,using,Retail/distribution/trading companies,2022-05-30,3,"Since it has only been in use for a short period of time, there are some parts that I do not understand, so it is difficult to score. The input is easy to understand, and no complaints are heard from users. I feel that it is good to be able to manage deadlines without exception.",>31-50,"We proceeded with the introduction mainly for personnel system management. Until now, management was done on paper, but digitization has made it easier to read and easier to fill out. Another advantage is that you can manage deadlines well.",3.0,3.0,3.0,4.0,3.0
21,Essential tool for sales activities,using,IT related Service,2022-05-29,5,"Because it can be accessed from anywhere, the status of sales activities can be checked even from outside, making it very convenient to use before business negotiations.
You can also check the approach status of each sales representative, so you can conduct sales activities efficiently.",>31-50,"In the past, daily reports of sales activities were sent by e-mail, but since the system can centrally manage them, it is easier to check them, and it has become possible to carry out efficient sales activities.
In addition, I think that it is an essential tool in sales activities because it can also be used to manage budgets and visualize progress.",5.0,4.0,4.0,5.0,4.0
22,Standard sales information sharing tool,using,IT related Service,2020-09-10,4,"In our company with many employees, it is not easy to share customer approach information, and such an information sharing tool is essential. Salesforce has a long history in this space, is stable, sophisticated and easy to use.",>1000,"Information can be easily shared among employees who belong to nearly 10,000 people. The advantage of being able to search for information on customers you want to approach and to coordinate with the department in charge in advance is great.",3.0,3.0,4.0,4.0,4.0
23,Detailed project management,using,IT related Service,2022-05-26,4,"You can also enter the contract date and accuracy, so you can visualize what to do for each period. For sales who have multiple projects and cannot remember them one by one, there is no need to manage and remember them on the cloud.",2-10,"With Chatter, a daily report-like function, not only the direct superior but also the members of the department and other departments can check the projects, which is helpful. Also, it is a good point that you can exchange opinions with functions such as comments.",4.0,4.0,4.0,4.0,4.0
26,it is easy to use,currently not using,Finance/Insurance,2022-05-19,3,"It was used at my previous workplace and shared throughout the company, so I think the security is solid. I was able to see the work of various branches, so I think it's wonderful from the perspective of sharing.",>1000,"It was introduced to improve the security of the company and strengthen the management system of the boss. Until now, I think that we were able to obtain statistics and improve efficiency by leaving interviews and paper-based data as data.",3.0,5.0,5.0,5.0,5.0
27,Centralized management of customer information and support for call center operations,using,Mass Media/Advertising/Design/Game/Entertainment,2022-05-15,4,"By being able to manage customer information throughout the entire organization, it is possible to greatly reduce the communication work that was previously done to share customer information, enabling more effective and more productive sales activities. It has made it easier for each department to work together and created a sense of unity toward the goal.",>101-200,"We are doing call center operations in collaboration with Miitel, and Salesforce provides an app that makes it easy to work with Miitel, so it's easy to use. Conversations recorded by Miitel can be played back on Salesforce and response evaluations can be checked, reducing the number of screen transitions.",4.0,4.0,5.0,4.0,5.0
28,Ideal for salesmen as CRM,using,Food and Leisure Service,2022-05-11,4,"The ability to instantly visualize the sales situation, including yourself and your team
Being able to check everything up to now for the target company on one screen
Seamless linkage with other companies' services such as online storage and electronic contracts",>1,"The ability to centrally manage information previously managed in various locations
→Customer information and progress management in Excel ・File management in online storage ・Electronic contract service makes it possible to centrally manage information scattered in various places, such as contract management. and mistakes can be greatly reduced.",3.0,4.0,5.0,3.0,3.0
29,Highly customizable,using,Consulting Service,2022-05-09,4,"Flags can also be created based on individual event participants, recent CV content, etc., so individual optimal AP can be performed.
I think it's highly customizable as well.",>11-30,"We were able to centralize lead management and reduce man-hours when sharing projects with other departments.
In addition, it is possible to visualize the leads to be attacked, and when there is a conversion from the other party, it is now possible to respond from IS without exception.",3.0,5.0,4.0,4.0,4.0
30,"Easy-to-read visualization of business negotiations, project information, customer management, etc.",using,IT related Service,2022-05-08,4,"By dividing and checking the sales of each team, department, and individual, and collecting and accumulating sales process, business negotiation information, customer information, etc., the cause of sales success and failure can be seen, and subsequent sales and You can use it in your negotiations. It is also good to be able to flexibly set workflows and authority management according to the style of the company.",>31-50,"Since everyone in the team can now see customer information and project information, which was highly individualized until then, it has become very easy to hand over customers and projects, and information sharing has improved transparency within the team. .",4.0,5.0,4.0,4.0,5.0
31,Integration of customer management and marketing,using,Food and Leisure Service,2022-05-06,4,"We were able to make contact with customers, customer management, and marketing in one service, so we were able to make it very efficient, and the quality of customer management improved, and the number of sales increased overall.",301-500,"Until now, we have been contacting customers and managing them individually, but by introducing this system, it has become possible to conduct numerical analysis necessary for contacting customers, customer management, and marketing.",3.0,5.0,5.0,4.0,4.0
32,Sales progress can be shared with other members,currently not using,Consulting Service,2022-05-02,5,"By using tools to manage sales progress, which had previously been managed using spreadsheets, it became possible to work within a fixed frame, and input efficiency was improved. In addition, efficiency is improved without operation errors such as data overwriting.",>51-100,"It is also possible for other members to respond instead, such as on days off. In addition, it has simplified the handover by leaving a history even when retiring.",5.0,5.0,5.0,5.0,5.0
33,Freedom to customize,using,IT related Service,2022-04-30,4,"I felt that it was extremely excellent because I could see what I wanted to manage and the data I wanted to analyze from the perspective of all kinds of KPIs. In addition, it is updated three times a year and new functions are added immediately.",>1,"With the introduction of the system, the data that had been managed only by individuals until now has become possible to teach information in a wide range within the team, and it is very helpful that the staff who are in charge can handle it even if the person in charge is absent.",4.0,5.0,4.0,4.0,5.0
34,Easy to manage and collect data,using,IT related Service,2022-04-29,4,"It is easy to manage the data because it is easy to customize the items and functions in the page. It also looks nice. Data can also be output as an Excel list. On the other hand, I can't say that the support is generous.",>51-100,"I feel that it plays a role not only in the sales information but also in the centralization of customer information management. Users have a lot of discretion to customize functions, and it is easy to realize what they want to do. This leads to operational efficiency.",4.0,5.0,5.0,5.0,3.0
35,High performance but high cost,currently not using,IT related Service,2022-04-26,3,"It was very convenient to be able to centrally manage various information such as sales activity history and customer information.
It was excellent that it was possible to aggregate data within the team and analyze a large amount of data, such as visualization of routine progress and trend analysis of trading partners, and the ability to graph the aggregated data.",>1,"Data that was previously managed by individuals using Google Spreadsheets can now be accumulated by the system and utilized by the team. In particular, it was very convenient to use the report function to quickly analyze sales results and forecasts in various segments and create more accurate sales strategies.",4.0,4.0,5.0,4.0,4.0
36,"Can be customized for each company, and the desired report can be output immediately",using,IT related Service,2022-04-25,5,"I have used this system in all kinds of organizations, and I feel that it is optimized for use.
I imagine that Salesforce probably made a good proposal when introducing the system.",>1000,"When I used to manage my reports in Excel, I used to take a piece of paper and a pen every day and write things like ""Who did you contact now?"", ""When will you contact me next time?"" was transcribed to
By using Salesforce, I was able to complete the task in just a few clicks and share it with others in real time.
I think it's the best system for management.",5.0,5.0,5.0,5.0,5.0
37,About sharing knowledge and handing over sales representatives,using,Manufacturer/manufacturing system,2022-04-25,2,"In many cases, a certain level of understanding and operability is required in the field, and it is very difficult to build.
Even now, it is difficult to implement it in-house because it is still being rebuilt.
The company plans to sign a partner contract in the future, and it is a costly system.",>101-200,"There were many changes in the person in charge within the sales department, and it became clear that it would be difficult to hand over each time. We also aim to use this tool to train young employees.",2.0,2.0,4.0,3.0,3.0
38,[Indispensable tools in the context of the science of sales],using,IT related Service,2022-04-25,3,"Because it is easy to link with Pardot and it is easy to acquire leads.
Is it easy to operate for all companies because the high fee is a bottleneck? To be honest, it's subtle, but if it's a company that resonates with the science fiction philosophy of chemical sales, I can definitely recommend it.",301-500,"I think the most important thing is the ease of phase management and visualization of business negotiations. By leaving the customer's situation, it has become an indispensable existence, such as being used at the time of handover.",5.0,5.0,5.0,5.0,5.0
39,Tools for real-time analysis and visualization,using,IT related Service,2022-04-24,4,"If you don't unify the settings and internal rules in advance, you won't be able to control data cleanly, but it's a tool that makes it easy to visualize data. In addition, the function is very excellent because it can be grasped in real time in the desired shape with fine granularity.",>51-100,It is easy to analyze because it is easy to visualize who is doing what kind of movement. I think it's a necessary tool to stretch your good points.,3.0,5.0,5.0,5.0,5.0
40,i want japanese version,currently not using,Manufacturer/manufacturing system,2022-04-22,4,"It was convenient because all users, including overseas employees, could view all customer information, including customer complaint processing progress. Before that, I was using SAP, but not everyone has the right to use SAP, so I ended up having to exchange emails as well, so I was able to simplify the communication work. .",>101-200,My main job was dealing with complaints in the customer service department of a foreign-affiliated manufacturer. I felt that it was excellent for centralized management because I could grasp it without having to contact it.,3.0,4.0,4.0,4.0,4.0
41,The strongest tool that combines sales support and customer management!,using,IT related Service,2022-04-21,4,"It is a tool that enables comprehensive management by linking customer information with the progress of negotiations.
Since the sales information itself is saved in the cloud, it can be viewed and shared within the team, and the progress of negotiations can be registered and edited.",>31-50,"Since it is possible to comprehensively share sales information and progress information of business negotiations, it is possible to share information with the department and project team as a whole, and to face new business negotiations with strengthened cooperation, so it is also possible to increase motivation for sales. Connect.",4.0,5.0,4.0,4.0,4.0
42,Unify the management of sales tasks,currently not using,Manufacturer/manufacturing system,2022-04-20,4,"It was good to be able to manage customer management, daily reports, contract management, KPI, etc. all in one place, but there were so many input items and complicated rules that it was very difficult to remember. It was difficult to correct a mistake.",501-1000,"Multiple tools were used for business management, and coordination was complicated. With the introduction of Salesforce, it became possible to manage with one, and the time for sales progress management and report output was greatly reduced.",4.0,5.0,5.0,5.0,4.0
43,"Projects, contacts and progress management for each business partner can all be done with this.",using,IT related Service,2022-04-20,5,"It has almost all the functions necessary for the customer management process, and it is possible to visualize customer success, customer leads, and business negotiations with business partners. .",>101-200,"In addition to reducing the time devoted to document production, customer information can be shared quickly and accurately when retiring or taking over a long vacation.",5.0,4.0,4.0,4.0,4.0
44,For productivity management during remote work,using,Food and Leisure Service,2022-04-20,5,"The activities of the sales force can be quantified even in remote areas. It is useful not only for maintaining and improving sales performance, but also for managing employee productivity. Invisible sales activities, such as negotiations between sales staff and customers and approach materials for customers, can be documented and left.",>31-50,"I was able to share information about sales materials and projects with people around me, which shortened the time for explanations. New employees and employees who had undergone personnel transfers were able to learn sales techniques by themselves from the original data without having to prepare separate materials.",5.0,5.0,3.0,5.0,5.0
45,This led to more efficient sales activities.,currently not using,Retail/distribution/trading companies,2022-04-20,4,"By being able to share sales know-how, it became easier to improve the efficiency of sales activities and achieve results. Able to work with teams. It is very convenient to centrally manage customer information.",2-10,"I felt that there was an issue in summarizing the knowledge gathered by the team and linking it to sales activities. By using the service, in addition to sharing know-how in sales, it has become possible to centrally manage customer information, which has led to more efficient sales activities.",4.0,4.0,4.0,4.0,4.0
46,You can visualize various information related to sales.,using,IT related Service,2022-04-17,4,"We have been able to unify the customer information that had been dispersed until the introduction, and it is useful for analyzing and consolidating sales information. In addition, it is easy to develop a spirit of helping each other by managing the progress of each project and sharing it with other members.",>51-100,"When contacting multiple business partners at the same time, there were times when names and contents were sometimes confused, but the centralized information made it easier to see and the high accuracy of searches reduced the number of silly mistakes.",4.0,5.0,4.0,4.0,5.0
47,Ability to centrally manage customer information,currently not using,IT related Service,2022-04-12,4,"Until now, customer management was managed using Excel, etc., but we have introduced it in anticipation of an increase in customers in the future.
In addition to being able to manage them collectively, it is now possible to carry out sales activities based on customer information during sales.",>11-30,"The problem was how to manage the customer management collected individually during a project involving multiple departments. After introducing the service, it became possible to view customer data regardless of department.",4.0,4.0,4.0,4.0,4.0
48,SFA that can do anything,currently not using,IT related Service,2022-04-11,4,"Extensibility through customization is very powerful. Basically, it is possible to customize the system and match it to the business of the company without changing the business flow of the company. I don't think there is any other SFA that can be customized to this degree.",>11-30,"As a system developer, I was in charge of customizing Salesforce Sales Cloud. In general, we can meet the customer's needs with the parts that are available, so I think it is highly customizable.",4.0,5.0,5.0,4.0,4.0
49,We were able to deal with a special model called recruitment,currently not using,Food and Leisure Service,2022-04-09,4,"Used as SFA/CRM in recruitment business. Recruitment requires linking project information in addition to products and customers, so it was not possible to deal with general SFA, but customization made it possible to accurately monitor progress. In addition, we were very satisfied with the fact that we were able to incorporate all of our company's unique score management functions.",>31-50,"In the past, spreadsheets were used for management, but due to the increase in the number of employees, there were disadvantages such as the sheet's cell limit problem and being too heavy to move. After the introduction of the service, problems such as being unable to operate or being unable to manage employee data have disappeared.",4.0,5.0,5.0,5.0,5.0
50,About using salesforce,using,IT related Service,2022-04-04,4,"The number of attribute information for leads is diverse, including customization, and a large amount of information can be linked. In addition, since it is possible to manage the pipeline of sales activities and project approaches, information will no longer be attributed to individual sales representatives.
However, since it is assumed that the salesperson will fill in the information, the key to using this service is how to convey the benefits of filling in the information to the user.",301-500,"・Eliminate personalization of information to sales representatives
・Improve the accuracy of closing deals
・Analysis of owned companies
・Strengthen lead management
・Strengthen information sharing",5.0,5.0,5.0,5.0,5.0
52,Easy to understand customer management and activity history,using,IT related Service,2022-04-03,3,"It is useful for information sharing among members, such as accessing customer data and managing data. I have the impression that it is also useful for centralized management, as it is possible to get a rough idea of ​​when the person in charge is handed over by looking at salesforce.",>51-100,"Each sales person used Excel for customer management, and there was a division of information.
Since it is a cloud tool after its introduction, it has become possible to share information anytime, anywhere, and centrally manage data.",3.0,3.0,3.0,3.0,3.0
53,Be an efficient management tool for managers,using,IT related Service,2022-03-29,5,"It is a product that is sufficiently excellent as SFA and CRM. I think that you can flexibly manage everything you want, such as business negotiation management and pipeline management for sales, and customer response status and phase management for customer success / support.",>11-30,"I'm a business manager myself, and since it's a start-up, we're constantly improving our business strategies, so we're flexible in improving the performance indicators of our members. When improving indicators, I immediately create items, create reports, and create dashboards that I want to see.
As a result, we were able to immediately visualize the team's activities and results because we could see the indicators we wanted to see on the same day just by telling the team which indicators to register.
If you request this setting to an external vendor or an internal department with low knowledge, it will take time to reflect it, so there is a problem that you can not easily see the indicators you want to see. has become",4.0,5.0,5.0,5.0,5.0
54,Customer can manage,using,Retail/distribution/trading companies,2022-03-23,3,"It is very easy for customers to manage, but difficult to master,
If you can understand and master it, I think it will be a great weapon in customer management such as sales.
However, I feel that it is inconvenient because the monthly usage fee is high and it is not easy to increase the number of accounts.",2-10,"I think it's a good point to be able to understand the actions of the sales people.
Sales Force is used to make sales uniform.
In addition, because we can manage each other within the company
This reduces the need to visit different systems, leading to more efficient and improved operations.",4.0,4.0,4.0,4.0,4.0
55,"Too much customization, initial support and knowledgeable personnel required",using,Manufacturer/manufacturing system,2022-03-22,4,"It has excellent customization functions and if you do not have personnel who are familiar with salesforce products or who have experience, it is more efficient to use the initial support introduction because it takes man-hours for initial settings.",2-10,"It was difficult to share information because there were no rules for manual management and management of business negotiations using Excel. Information management in the marketing and sales departments has become much smoother, although it is still in the middle of the process.",4.0,4.0,5.0,4.0,3.0
56,Manage detailed customer information in a timely manner to close deals,using,IT related Service,2022-03-19,5,"You can manage customer information and data with the sales department in detail, and work together smoothly. As a result, we are able to manage budget achievement and progress in detail for each quarter, leading to efficient and highly productive sales activities.",>31-50,"In my work, I was highly dependent on Excel work, but the introduction of sales force led to a decrease in the frequency of using Excel, making it possible to devote more time to analysis work.",5.0,5.0,5.0,5.0,5.0
57,Products for large enterprises,using,Food and Leisure Service,2022-03-18,4,"It's a very nice product, but it takes a lot of time to build and it's not possible for amateurs. We had a contractor build it, but if the literacy was low, it would take time to define the requirements and the product would be difficult to use.",2-10,"Sales management has become easier, but after introducing it, I came across a product that even beginners can use. After all, I think that this is a professional specification.",4.0,3.0,5.0,2.0,5.0
58,"If you link or put too much data, it will be ridiculously heavy",currently not using,IT related Service,2022-03-16,3,"After all, it can not be linked with the invoice system, and can only be done from account → project → estimate → order, but it is extremely heavy to connect with the MA tool even in this alone.",>51-100,"Until now, I couldn't take over unless I held a handover meeting for each project, but since I can see all the contacts and contracts linked to the project, account management has become easier. Since I can see the exchanges, it became easier to make a strategy for the approach.",5.0,5.0,3.0,3.0,3.0
59,Easy progress management of sales activities,currently not using,IT related Service,2022-03-14,4,"By thoroughly registering information, you can visualize all data and complete sales meetings, daily activity reports, etc. with just Salesforce. Because I don't feel the problem as much as when I was managing the project in Excel.",>1,"Optimized sharing of project details by visualizing sales activity.
- Now you can manage phases and tasks in Salesforce.",4.0,5.0,4.0,4.0,3.0
60,no effect yet,using,Mass Media/Advertising/Design/Game/Entertainment,2022-03-11,3,"Interlocking with our sales management does not proceed as expected. It's hard to say whether it's a problem on our side or a problem on the system side, so the current rating is 3. 4 if improved in the future. If the price is cheaper, it will be a 5 rating.",>51-100,"Customer management has become possible, and sales information can also be accumulated. However, the number management does not work well with the base system, and I don't think it will improve in the future. Many people say that Sansan is good for customer management.",3.0,2.0,5.0,3.0,3.0
61,Smooth customer understanding and internal handover by systematizing customer management,currently not using,Mass Media/Advertising/Design/Game/Entertainment,2022-03-10,4,"A huge amount of customer information (transaction results, company information, person in charge information, etc.) can be put together in one system, and this information can be viewed by everyone, including sales representatives, bosses, and in-house assistants, so everyone involved in the project made customer management easier. In addition, when a customer is handed over from a predecessor to a successor due to internal transfers, it is less likely that information will be leaked in the system, which I think is also an advantage for the customer.",2-10,"Customer information management has always been a problem, and there was a time when we used an analog method of managing it in files, but with the amount of information too large and salespeople busy with daily sales activities, we managed to manage customers. I had a hard time finding time to tackle the tedious task of putting things together in a file. After the introduction of Salesforce, when I returned home from visiting a sales office, I first entered the business negotiation details and contact information for the day into Salesforce, and when I received a business card, I handed the business card to the assistant, who then read the business card into the system. Work has become routine. As a result, customer management can be done smoothly, and when preparing for business negotiations later, sales force can be used to review customer management and previous business negotiations. The advantage is that the task of looking at paper materials and looking at other internal systems (transaction results) has been reduced by collecting customer information, and the preparation for business negotiations has become smoother. In addition, internal handover has become much easier.",4.0,4.0,4.0,4.0,4.0
62,Convenience,using,Food and Leisure Service,2022-03-08,5,"With Salesforce, everyone can see at a glance what matters most to their sales efforts, including customer budgets, competitive data, and what sales teams are focusing on. I would recommend it to any company with issues.",2-10,"Before the introduction, it was difficult to grasp the customer situation in each business department, and it was unclear where and how they were working on it.
After its introduction, it became easier to manage.",4.0,4.0,4.0,5.0,5.0
63,Centralized management and easy to see,using,IT related Service,2022-03-08,4,"Until now, we used various systems to manage
Salesforce made it possible to use all of them in one place, which made it much easier.
Because of the cloud, the only problem is that if the line is slow, it will not work at all.",501-1000,"Salesforce can be customized in various ways, and because it is cloud, you can see information from the outside without connecting the remote, so the work efficiency has improved.",4.0,5.0,5.0,5.0,5.0
64,"Even if it is introduced, it cannot be used",currently not using,Manufacturer/manufacturing system,2022-03-07,2,"<Good points>
・Able to manage projects
・It is possible to create complex reports (however, there is almost no need for it in actual work)

<Bad point>
・ Anyway, it is difficult to use and cannot be used
・I was in the sales department, but the marketing department uses a different tool, which breaks the collaboration between departments.
・The content of the FAQ page is difficult

Since the company is good at branding, we tend to think that if we are going to introduce CRM from now on, we have to use Salesforce, but that is not the case at all.",>11-30,"・ Easy to report because it is easy to create reports under specific conditions
・Able to manage sales projects and actions
- Basic customer management
* Benefits as a normal SFA rather than specific to Salesforce.",1.0,3.0,3.0,1.0,3.0
