,タイトル,タイトルリンク,w-440,article_answer,ml-5,button,button1,button2,article_asideRight,button3,typography-hy,point,w-100,口コミ投稿日,text-center,report,report1
10,AE、在籍3年未満、現職（回答時）、中途入社、男性、セールスフォース・ジャパン（旧：セールスフォース・ドットコム）,https://www.vorkers.com/user_answer.php?vid=a0A2x00000AzgR3,働きがい・成長,"成長・キャリア開発：
営業を科学するいうフレーズをよく聞きますが、この会社ほど再現性を貫いてSFAを使い倒している企業はないと思います。
ここでパイプライン管理や商談を前に進める力を培うことができればどこに行っても通用する営業マンになれると思いますし、そんじょそこらのマネージャーでは物足りなく感じると思います。
一方でインセンティブはかなり高いため、逆に給料を意識して他を選択に選ばず、突き詰める人もいるかと思いますし、マネージャーになるのは挙手制のため、営業を極めたいのであれば希望すれば思った通りのキャリアを詰めると思います。",4.6,GOOD！4,https://twitter.com/share?url=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000AzgR3%26qco%3D4,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000AzgR3%26qco%3D4,2022年02月16日,https://www.vorkers.com/one_answer.php?vid=a0A2x00000AzgR3&qco=4,,,,,,,
11,カスタマーサクセス、在籍3年未満、現職（回答時）、中途入社、男性、セールスフォース・ジャパン（旧：セールスフォース・ドットコム）,https://www.vorkers.com/user_answer.php?vid=a0A2x00000AzaiR,入社理由と入社後ギャップ,"入社を決めた理由：
給与が前職よりも150%近く上がったため。また既に何人か知人がおり、知人からの評価も高かったため。

「入社理由の妥当性」と「認識しておくべき事」：
給与に関しては申し分なし。認識しておくべき事としては、部門が多岐にわたるため、社内の雰囲気に関して全て良いかどうかは一概に言えない。中途入社者が多い分、退職者も多いし、営業部門では部長が部下に怒鳴っている事も聞いたことがあり。
このような転職サイトでは会社全体の雰囲気は掴めても、部門や直属上長の評価は見えないため、そこは気をつけた上で、転職を考慮すべき。",4.1,GOOD！10,https://twitter.com/share?url=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000AzaiR%26qco%3D3,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000AzaiR%26qco%3D3,2022年02月09日,https://www.vorkers.com/one_answer.php?vid=a0A2x00000AzaiR&qco=3,,,,,,,
12,コマーシャル営業、営業、アカウントエグゼクティブ、在籍3年未満、退社済み(2020年以降)、中途入社、男性、セールスフォース・ジャパン（旧：セールスフォース・ドットコム）,https://www.vorkers.com/user_answer.php?vid=a0A2x00000AzYaQ,退職検討理由,既に大部分の企業が導入をしており、結局のところはアカウント運に尽きると感じたためです。会社としてはすでに成功しており、その分営業へのインセンティブが少なく、それをカバーしようとして働く時間を増やしますがそうすると逆にプライベートが犠牲になり何のために仕事をしているのか分からなくなり退職しました。ブランド名と製品の実力値はあるものの、すでに成長仕切っている会社であり、ノウハウもある程度吸収したため他にたくさんあるより条件の良い会社に転職しました。残っているメンバーは、会社愛が強く、仕事が好きなメンバーが多いように思いますが、最近は退職するメンバーも増えておりそれと同時に新しいメンバーもどんどん増えていると思います。,3.4,GOOD！15,https://twitter.com/share?url=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000AzYaQ%26qco%3D8,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000AzYaQ%26qco%3D8,2022年02月06日,https://www.vorkers.com/one_answer.php?vid=a0A2x00000AzYaQ&qco=8,,,,,,,
13,Planning、在籍3年未満、現職（回答時）、新卒入社、女性、セールスフォース・ジャパン（旧：セールスフォース・ドットコム）,https://www.vorkers.com/user_answer.php?vid=a0A2x00000AzX7N,入社理由と入社後ギャップ,"入社を決めた理由：
「キャリアのスタートを切る場所として適していると感じたため」

適度な速さでの成長環境を求めていたため外資企業を見ていたが、職種の選択肢や育成の観点から新卒入社に向いていない企業が多かった。しかし、Salesforceは新卒学生向けの研修を新卒専門の教育部隊が数ヶ月にわたって担当し、新卒から進めるキャリアの幅も広い。

「入社理由の妥当性」と「認識しておくべき事」：
理由に関して入社してからも特にギャップはなく過ごせており、自身の価値観とマッチしているため妥当であった。入社意思に影響はしないが、企業の変化スピードの速さが想像以上だったため、今後志望する方は入社前に認識しておくべきだと考える。丁寧なアウトプットを時間をかけて作成するタイプは向いていない企業。",4.5,GOOD！0,https://twitter.com/share?url=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000AzX7N%26qco%3D3,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000AzX7N%26qco%3D3,2022年02月04日,https://www.vorkers.com/one_answer.php?vid=a0A2x00000AzX7N&qco=3,,,,,,,
14,Planning、在籍3年未満、現職（回答時）、新卒入社、女性、セールスフォース・ジャパン（旧：セールスフォース・ドットコム）,https://www.vorkers.com/user_answer.php?vid=a0A2x00000AzX7N,働きがい・成長,"働きがい：
「功績を讃えてくれる文化」

何かアウトプットを出すたびに、マネージャーや関係者によってオープンな場で功績を讃えられ、そのほかの社内メンバーもお祝いのメッセージやポジティブな声がけをしてくれる文化がある。自身のアウトプットや活動を定期的に認められる機会があることはとても働きがいに繋がっている。

「新卒1年目からチャレンジできる環境」
Onboarding期間を除けば、新卒1年目からストレッチが効いていて、ある程度オーナーシップを取れる仕事を任せてもらえる。また、やるべき業務をしっかり行えていれば、やりたい仕事にトライできる環境もある。

成長・キャリア開発：
キャリア開発は、キャリアデベロップメント用の仕組みが複数用意されている。学習費用補助や、タレントデベロップメントセッション、個々人のキャリア開発についてマネージャーと話す時間が設けられている。",4.5,GOOD！0,https://twitter.com/share?url=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000AzX7N%26qco%3D4,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000AzX7N%26qco%3D4,2022年02月04日,https://www.vorkers.com/one_answer.php?vid=a0A2x00000AzX7N&qco=4,,,,,,,
15,Planning、在籍3年未満、現職（回答時）、新卒入社、女性、セールスフォース・ジャパン（旧：セールスフォース・ドットコム）,https://www.vorkers.com/user_answer.php?vid=a0A2x00000AzX7N,企業分析［強み・弱み・展望］,"強み：
「製品力」「科学的な営業」「社内ナレッジの豊富さ」

製品力、サポート体制、エコシステム、ユーザーコミュニティ、実績等が業界内でずば抜けている。また、フィールドメンバーの業績上げることをKPIとして専任部隊がおり営業を科学的に分析して、業績を上げるための仕組みが存在。ナレッジ用インフラの仕組みが整っていることに加え、社内ではナレッジのシェア文化が浸透しているため、社内ナレッジが豊富で見つけやすい。属人的な営業となりづらい仕組みが整っている。

弱み：
「企業拡大フェーズによる能力レベルのばらつき」

人数が増えてきたことにより営業スキルにバラつきが生じてきていることも事実である。数字を出せる営業と苦戦する営業で明暗が分かれる企業である。",4.5,GOOD！0,https://twitter.com/share?url=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000AzX7N%26qco%3D9,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000AzX7N%26qco%3D9,2022年02月04日,https://www.vorkers.com/one_answer.php?vid=a0A2x00000AzX7N&qco=9,,,,,,,
16,ソリューションエンジニア、在籍3年未満、現職（回答時）、新卒入社、男性、セールスフォース・ジャパン（旧：セールスフォース・ドットコム）,https://www.vorkers.com/user_answer.php?vid=a0A2x00000AzIW7,入社理由と入社後ギャップ,"入社を決めた理由：
最新のIT技術に触れる機会が得られるため。
同時に、洗練された営業モデルの一員となり、大型商談における営業スキル・コミュニケーション力を磨くため。

「入社理由の妥当性」と「認識しておくべき事」：
実際、社員は様々な製品に触れることができ、製品のキャッチアップを行うためのリソースはしっかりと整ってある。
ただし、これらはあくまでも社員が自分の時間を見つけて勉強する必要があり、担当業務に追われてそれどころではないという部署もある。

営業スキルに関しては、定期的にトレーニングが設けられ、教育環境がしっかりしている。営業力を上げたいのであれば正直これ以上の環境はないと思う。",4.5,GOOD！1,https://twitter.com/share?url=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000AzIW7%26qco%3D3,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000AzIW7%26qco%3D3,2022年01月16日,https://www.vorkers.com/one_answer.php?vid=a0A2x00000AzIW7&qco=3,,,,,,,
17,ソリューションエンジニア、在籍3年未満、現職（回答時）、新卒入社、男性、セールスフォース・ジャパン（旧：セールスフォース・ドットコム）,https://www.vorkers.com/user_answer.php?vid=a0A2x00000AzIW7,働きがい・成長,"働きがい：
非常に働きがいのある職種だと思う。
急成長する企業でスピード感があり、この会社のビジネスの成長に貢献しているんだなと実感することが多い。そのため、仕事に対する意欲が高い社員が多く、このような環境で働けることはファーストキャリアとして最適だと思う。

成長・キャリア開発：
入社してから間違いなく成長したと思う。
ビジネスパーソンとしてだけでなく、人間としても成長させるような環境である。
また、キャリア形成の柔軟性が非常に高く、卒業メンバーは様々な業界のトップファームで活躍されている方が多い。",4.5,GOOD！2,https://twitter.com/share?url=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000AzIW7%26qco%3D4,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000AzIW7%26qco%3D4,2022年01月16日,https://www.vorkers.com/one_answer.php?vid=a0A2x00000AzIW7&qco=4,,,,,,,
18,Sales development、内勤営業、一般社員、在籍3年未満、現職（回答時）、中途入社、女性、セールスフォース・ジャパン（旧：セールスフォース・ドットコム）,https://www.vorkers.com/user_answer.php?vid=a0A2x00000Az7Wa,働きがい・成長,"働きがい：
内勤営業は働きがいはありません。特に20代でそこそこ若い方が中途で入社すると、新卒一年目なみにテレアポに追われます。場所の中でも不満は溜まっており楽しんで仕事をしている人はあまりいないです。働きがいを感じるのは内勤営業部門ではなかなか難しいです。

成長・キャリア開発：
外勤営業にキャリアアップできれば市場価値も上がっていくと思いますが、かなりのハードワークなので覚悟が必要かと思います。特に出産を考える年齢の女性は気をつけた方がいいかもしれません",2.9,GOOD！0,https://twitter.com/share?url=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000Az7Wa%26qco%3D4,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000Az7Wa%26qco%3D4,2022年01月01日,https://www.vorkers.com/one_answer.php?vid=a0A2x00000Az7Wa&qco=4,,,,,,,
19,インサイドセールス、在籍3年未満、現職（回答時）、中途入社、女性、セールスフォース・ジャパン（旧：セールスフォース・ドットコム）,https://www.vorkers.com/user_answer.php?vid=a0A2x00000Az5jg,組織体制・企業文化,"分業体制。
営業に関しても1人で新規や既存、お客様支援を行うわけではないので1人の負担が大きくない。
新規開拓を行うインサイドセールス から新規案件をもらい、クローズを行う外勤営業がいる。
数字に関しては勿論しっかりKPIがあるが、他社に比べて厳しいわけでもない。
企業文化に関してもOHANA文化というものがあり、助け合う風潮。誰かを競いあうというよりは
皆で助け合う文化が刷り込まれているのでサクセスシェアなどが積極的に行われている。",5.0,GOOD！1,https://twitter.com/share?url=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000Az5jg%26qco%3D1,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000Az5jg%26qco%3D1,2021年12月28日,https://www.vorkers.com/one_answer.php?vid=a0A2x00000Az5jg&qco=1,,,,,,,
20,ソリューションエンジニア、在籍5～10年、現職（回答時）、中途入社、男性、セールスフォース・ジャパン（旧：セールスフォース・ドットコム）,https://www.vorkers.com/user_answer.php?vid=a0A2x00000AyLIU,入社理由と入社後ギャップ,"入社を決めた理由：
プロダクトが優れていて、これなら売りたいと感じたから。

「入社理由の妥当性」と「認識しておくべき事」：
たまに使えない機能や、一瞬でEOLする機能を仕掛けてくることはありつつも、これだけ巨大化しても安定して動作させていることには心から賞賛したい。
製品技術自体も優れているが、それを開発・運用するための組織作りが強固にできあがっていること、それから働いている人たちのほとんどが Salesforce というプロダクトを心から好きでいることがよく分かる。
とはいえ、巨大化したが故、とても難しい組み合わせや利用方法があり、一人でどうこうできる範囲ではなくなってきている。多くのスペシャリストたちがサポートはしてくれるが、それをリードする営業・エンジニアのプロジェクトマネジメント力が問われる状況になっている。",4.8,GOOD！5,https://twitter.com/share?url=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000AyLIU%26qco%3D3,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000AyLIU%26qco%3D3,2021年11月01日,https://www.vorkers.com/one_answer.php?vid=a0A2x00000AyLIU&qco=3,,,,,,,
21,ソリューションエンジニア、在籍5～10年、現職（回答時）、中途入社、男性、セールスフォース・ジャパン（旧：セールスフォース・ドットコム）,https://www.vorkers.com/user_answer.php?vid=a0A2x00000AyLIU,ワーク・ライフ・バランス,"ワーク・ライフ・バランスを重視する会社で、いつでも好きなように時間配分を取ることができる。
特に今はコロナ禍で、リモートワーク中心で、プライベートとの分け隔てが少なくなってきている分、仕事とプライベートをうまく分けるよう指示が出ている。
それらは直属の上司だけではなく、社内広報としてメッセージが伝えられたり、どのようにしてワーク・ライフ・バランスを保っているか、社員からの横展開が頻繁に行われて情報共有なされている。",4.8,GOOD！1,https://twitter.com/share?url=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000AyLIU%26qco%3D6,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000AyLIU%26qco%3D6,2021年11月01日,https://www.vorkers.com/one_answer.php?vid=a0A2x00000AyLIU&qco=6,,,,,,,
