,title,author_info,rating,pros,cons,helpful
44,Leadership Lacking in Parts of the Org,"Feb 4, 2022 - Account Director in San Francisco, CA",3.0,If you find a good team with good management it's a good place to work.,"If you don't find the right mgmt team I find it to be a ""Never Good Enough Environment"" where doing right by the customer is under valued.",3 people found this review helpful
45,Best place,"Mar 17, 2022 - LMTS, Software Engineering in San Francisco, CA",4.0,Work-life balance Innovative Good work culture,Poor stock options Over compensation is not competitive for Software Engineering,Be the first to find this review helpful
46,"Amazing People, Amazing Place To Work","Dec 7, 2021 - BDR in Chicago, IL",5.0,"Time off, empathetic management, work-life balance, amenities such as monthly wellness benefit and office kitchen full of food.","Extremely competitive, not a lot of focus on qualitative value but that's typical with a sales role",1 person found this review helpful
47,Amazing Company,"Jan 4, 2022 - Associate Solution Consultant in Reston, VA",5.0,Great benefits and they really take care of their employees,None so far that I have come across!,Be the first to find this review helpful
48,Organizational Benefits are Great,"Mar 5, 2022 - Software Engineering Director",4.0,Culture of giving back to the community with great benefits for volunteering and matching charitable contributions.,Not embracing cloud technologies as much as they should.,Be the first to find this review helpful
49,Best place to work,"Jan 6, 2022 - Anonymous Employee",5.0,Best place to work in the country,none none none none none,1 person found this review helpful
50,BDR,,5.0,lots of flexibility and learning potential!,The base is so low,Be the first to find this review helpful
51,10/10 No complaints,,5.0,"Amazing culture, great teams and leadership, opportunity to grow or try new things",Structured time in seat vs. performance-based promotions,Be the first to find this review helpful
52,Great Company!,,5.0,"Benefits, people, workshops, trailhead, and pay",Kind of hard to move around,Be the first to find this review helpful
53,Welcome to the big leagues,,5.0,Some of the best sales people and smartest individuals I know work with me every single day.,Very salesy culture. Lots of q4 and end of month pressure.,Be the first to find this review helpful
54,Amazing and positive experience,,5.0,Great company that I can’t say enough positive thing about. Awesome opportunity for someone with customer service background to branch out and build consultant skill set.,None! Was recruited for another position elsewhere which is why I left. It was a hard decision!,Be the first to find this review helpful
55,Too big for it's britches,,2.0,"You learn a TON, and are exposed to some really incredible people here. I wouldn't change my time here at all and have met some of the best mentors and smartest people in the industry. Benefits are great, WFH flexibility and the stipends are wonderful. There is a lot of opportunity to move around within the company and learn new roles and duties, which is lucky, because in order to move up you will have to move around.","The promotion system is broken. Period. Only promoting 1-3% of your workforce every 6 months is a broken process and gives over-perfoming employees two options if they don't get promoted that round - wait and see, or move into a new role within the company at the higher title. Or, the route I took, leave the company. I understand putting a cap on the amount of promotions each team can have, but it can cause teammates to have to wait YEARS for a promotion they should have just been given. And finally, ""Ohana"" is BS in my opinion when it comes to those in leadership. Those not in leadership totally embody that spirit, but the amount of politics, backstabbing and egotistical leaders in this company is unacceptable. When you disagree with someone who doesn't understand your job but is in a leadership role, you are punished, get duties you enjoy doing taken away from you, and told to make things better without any guidance on what is actually broken. Salary is also way under in comparison to other companies. Salesforce used to be at the top of salary ranges, and have unfortunately not kept up with the times. Every year the employee survey continually highlights these issues, and now with some of the top employees in the company moving on to greener pastures, I really hope they tackle these problems. It starts from the top.",4 people found this review helpful
56,Good place to work,,4.0,"Good benefits & 401k match, decent pay, supportive company culture",Salesforce likes to innovate through acquisitions rather than engineering,Be the first to find this review helpful
57,Extremely political environment,,1.0,- Good benefits (Maternity leave of 6 months) - Good pay and bonus - Continuous Innovation - Talented folks all around,"- Reorg every year. I completed 3.5 years at salesforce and on my 5th manager - Middle management is extremely corrupt and there is favoritism all around. If you do not suck up to middle management, you will not grow at Salesforce - Seniors dating and marrying their direct reports (which explains the favoritism above) - There is no feedback loop for employees to provide their feedback to upper management. It all goes through middle management which is itself corrupt",7 people found this review helpful
58,Not great for HR roles,,3.0,Great culture Nice offices with free coffee and snacks People are very nice,These cons are specific to the HR Department. Other teams seemed to have been functioning ok. No work like balance Overwhelming stress Leadership is not responsive to feedback/needs of the team Low morale Micromanaging Low pay with a lot of work Not rewarding or promotion/career growth opportunities,6 people found this review helpful
59,Salesforce delivers on the hype,,5.0,"This place is everything my peers, friends and online reviews said it would be. A wildly inclusive, fast moving and highly motivated culture. From Marc Benioff down to my local leadership team Salesforce truly cares about its employees and the betterment of not only each employee but also their families. It's nice to finally work at a place that is doing well to do good.",Honestly cannot think of any cons that are worth mentioning. Its just a good company and a lovely place to work.,Be the first to find this review helpful
60,Review,"Jan 13, 2022 - Solutions Architect in Buffalo, NY",5.0,Salary is really he best,Need to write smtg for a rason,Be the first to find this review helpful
61,About work experience,"Dec 29, 2021 - Customer Service Representative in San Francisco, CA",5.0,It was a great company to work for,The demands can be very stressful and burdensome,Be the first to find this review helpful
62,Good company with strong values,"Mar 9, 2022 - Director",4.0,Focus on employee well being,Fast growth with acquisitions provide some pain points,1 person found this review helpful
63,"Great company , great people, great perks","Nov 9, 2021 - Account Executive, Service Cloud",5.0,"Salesforce is a wonderful company to work for. There is great leadership , upward mobility and great perks such as benefits and time off.","It feels more like a lottery with the accounts you receive to work. Some people do nothing and make tons, while others work very hard and make little.",1 person found this review helpful
64,thanks,"Jan 4, 2022 - Account Executive in San Francisco, CA",5.0,great experience for 3 years and woudl highly suggest,Better pay elsewhere and promotion process can be irritating,Be the first to find this review helpful
65,young,"Mar 13, 2022 - Sales in New York, NY",2.0,good money if you get the right accounts,not a good work life balance,2 people found this review helpful
66,Great place to learn SaaS,"Dec 24, 2021 - Business Development Representative",5.0,"An excellent place to work, get promoted quickly.",There are stupid middle managers everywhere,Be the first to find this review helpful
67,BDR,"Feb 1, 2022 - Business Development Representative",4.0,-Gain a lot of experience from working with top sales leadership -With Salesforce being a successful company there are many resources for you -Being able to connect and network with many people around the would is great,Salesforce historically has higher quotas With Salesforce being the #1 CRM you are expected to perform at your best everyday.,Be the first to find this review helpful
68,"Lots of company pros, but poor department leadership.","Apr 15, 2021 - Success Guide in Indianapolis, IN",4.0,"- WFH policies, extra cautious with Covid protocols - Health benefits, wellness benefits, time off - Best parent leave policies - New up to date equipment regularly - Collaborative tools I think that the executive leadership at Marc Benioff's level and direct reports have been great. Forward thinking, innovative, beginner's mind, etc.","- The senior leadership and some of the middle leaders in this department clearly does not align with Salesforce as a company. We sit in employee town halls discussing flex time and working from home, but the leadership in this department wants to micro manage their teams and press their thumbs down on everyone. This department has been watered down so much in the last several years and we constantly hear about how we need to ""lower the cost to serve"" while also trying to shove case closures down everyone's throats.",8 people found this review helpful
69,Amazing place to work!,"Dec 13, 2021 - Anonymous Employee",5.0,"Amazing culture, benefits, perks, and opportunities! A progressive organization that does a ton of philanthropic work, has a focus on diversity and works to help the environment.",Bachelor's degree required for entry-level,Be the first to find this review helpful
70,Ok ish,"Jan 18, 2022 - Principal Software Engineer",3.0,"Good benefits depending which org you go, work may be fun great perks",politics jungle may be technically stagnant,Be the first to find this review helpful
71,Good Support - Great Benefits,"Jan 3, 2022 - Associate Engineer",5.0,"The company makes an active effort to support employees. Many smaller benefits and perks that show they care. Also, the company is mindful of work/life balance by in large.","Some of the processes can be a bit opaque, I am not always clear on what training is required and what isn't. Also, salary structure could be more transparent.",Be the first to find this review helpful
72,Amazing place to build a career and give back to your community,"Jan 3, 2022 - Sales Sales Enablement Manager in Denver, CO",5.0,"Supportive culture, innovative, strong leadership, benefits, parental leave, community volunteer time off, unlimited vacation, learning resources, high performance culture, design thinking, green company, diversity and inclusion practices and policies","Mergers and acquisitions are exciting, but lead to constant change. Agility is required here! :)",Be the first to find this review helpful
73,Business is the greatest platform for change,"Jan 3, 2022 - Strategic Account Director in Colorado Springs, CO",5.0,Salesforce trust and track record to deliver with speed,Not enough prospects know the real power and value of Salesforce Industries,Be the first to find this review helpful
74,Love it,"Jan 3, 2022 - Director in Chicago, IL",5.0,Great benefits Challenging work Work Life Balance,Intense sales environment lots of org change,Be the first to find this review helpful
75,Best intern experience,"Jan 3, 2022 - Software Engineer in San Francisco, CA",5.0,inclusive culture and best work life balance.,"tech stack is not popular, you can barely use it outside of Salesforce",Be the first to find this review helpful
76,Toughest Job in Sales,"Jan 17, 2022 - Business Development Representative",4.0,- Compensation - Great Company - Learning opportunities,- Very demanding - Nonrewarding - Work/life balance - High turnover,Be the first to find this review helpful
77,Great company to learn from. Also has a nice feel good culture.,"Jan 17, 2022 - Solution Consultant in Philadelphia, PA",4.0,People are all nice and helpful. Relatively a flat organization when it comes to titles. For better or for worse.,Hard to progress you career here. Every takes 2-3 years in each role. Lame for motivated people who can have opportunity to grab big roles.,Be the first to find this review helpful
78,"Decent Company , Nothing Extraordinary ! Cares for its employees","Jan 17, 2022 - Software Engineer PMTS in Austin, TX",4.0,Decent Comp Great WLB Excellent medical benefits,"stock refresher sucks , no guarantees on every year refresh 401K match only upto 5K per year Low developer productivity due to multiple security checks and processes",Be the first to find this review helpful
79,Rating,"Jan 17, 2022 - Software Development Engineer (SDE) in Redmond, WA",4.0,"Great WLB, nice working environment","Lack of management, not good at training new hires",Be the first to find this review helpful
80,Paid for by Salesforce,,1.0,Top notch benefits. That is about all.,Lower than industry avg pay Commission structure only benefits Salesforce Territories are super saturated with under utilized shelf ware Management is on a 1-year campaign tour if best - very transactional culture No territory ownership by your co-primes who just wait for you to usher in the c-level intros Super political - and not just Marc’s outspoken political stance Get ready to google yourself to knowledge as the onboarding is atrocious and entirely virtual,10 people found this review helpful
81,Great culture,,5.0,Ohana all the way! It’s a defining characteristic.,The culture is amazing but a little cultural misappropriation,Be the first to find this review helpful
82,Good Hours - Boring Work,,3.0,Straight forward 9-5 hours Respect for personal life Volunteering and giving back heavily encouraged Making big strides in D&I,Pressure to spin every campaign into a positive Culture is to do right by executives rather than the customer Very resistant to outside the box ideas,2 people found this review helpful
83,Ok,,3.0,Work life balance is good,Job satisfaction depends heavily on the org and team you are on…,Be the first to find this review helpful
84,Good,,4.0,"Good culture, Good team, Good system","Long hours sometimes, but needed in any company.",1 person found this review helpful
85,"Overall, decent company",,3.0,"Benefits, culture, exciting projects to work on",Work-life balance can be better,Be the first to find this review helpful
86,Excellent company with great work life balance!!,,5.0,"Great work life balance, Excellent company wide culture, lot of benifits",None so far( have worked for 4 years),Be the first to find this review helpful
87,Good,,4.0,Def. a fun place to work,Workload is larger than expected,Be the first to find this review helpful
88,Best,,5.0,"Love it. Management is great, coworkers are great, benefits and pay are great.",None I can think of,Be the first to find this review helpful
89,A Great Company to work for,,5.0,Salesforce has been very good to me. I've had lots of opportunities to learn and grow. They've been especially great during the pandemic ensuring everyone is safe.,Can be a demanding and stressful job at times,Be the first to find this review helpful
90,Awesome place to work,"Dec 30, 2021 - Senior Auditor in San Francisco, CA",5.0,Culture Diversity Initiatives Interesting Work Rapid growth,Extremely busy given high growth Meeting heavy culture,Be the first to find this review helpful
91,Culturally the best job I have ever had with a great operation that does have its flaws,"Jan 12, 2022 - IT Analyst",4.0,-Hire the best people personally and professionally -Unmatched benefits -Great work/life balance culture -Onsite safety and resources during Covid is unmatched by any company,"-Depending on your management in IT, you will either get a innovative leader, or a leader stuck in old school metric driven decision making with disassociation their workers -IT process and metrics are micromanaged at times, especially on remote support during the pandemic -Talent retention with contractors during the pandemic has been abysmal",Be the first to find this review helpful
92,AE,"Jan 12, 2022 - Account Executive",4.0,Great people to work with. Decent Pay,Big company so lots of politics,Be the first to find this review helpful
93,"Good company, poor Denver leadership","Jan 12, 2022 - Account Executive in Denver, CO",2.0,- Top name in the CRM space - Employees very open to networking - Many promotion paths throughout the organization,"- Leaders aren't receptive to suggestions or feedback - Salary is not competitive - Limited enablement - As with most enterprise companies, territories are small",1 person found this review helpful
94,Long promotion process,"Jan 12, 2022 - Business Development Representative in Denver, CO",4.0,Lots of time off and great benefits with HSA and stock match.,"Started in the business development associate role, then SDR, then BDR, then AE and the process took around 2.5 years to get into a closing role",Be the first to find this review helpful
95,"You are a small cog, meaningless cog in a big machine","Jan 9, 2022 - Business Development Representative",2.0,"Great management and leadership,great people on the team. Competitive, but everyone collaborates and wants everyone to succeed. Great benefits.","Base pay is terrible. I was promoted to AE and got an 8% raise. I share that with a teammate of mine, and I found out she makes that already. Can be a thankless job. You are not a sales rep. You set meetings for your ae’s. You must call a ton a day, email a ton a day, and management is on you about metrics. If you take pto you have to make up the emails and calls. When you interview for promotions, you get no relief from your metrics so you can’t prepare.",3 people found this review helpful
96,Nice Culture,"Dec 28, 2021 - Engagement Director in Dallas, TX",5.0,Carrier growth opportunities internally for movement,None at this point of employment,Be the first to find this review helpful
97,Big Company/Close Family,"Dec 28, 2021 - Solutions Engineer in Houston, TX",5.0,I love my team and even though we are virtual I feel well connected.,It is a big company and sometimes there are so many moving parts and lots of people involved to do small task.,Be the first to find this review helpful
98,Sales,"Dec 28, 2021 - Sales Associate",5.0,Coming back home now and I’ll,Inheritance tax return to your account,Be the first to find this review helpful
99,What you'd expect,"Jul 18, 2022 - Software Engineer in San Francisco, CA",4.0,"Great office, stability, work life balance. An extremely low stress job with fair comp.",Some poor management. Lots of attrition. The work's not particularly interesting and the developer experience of working on platform is painful at times,Be the first to find this review helpful
100,Amazing culture,"Jun 22, 2022 - Account Executive",5.0,The company provides us with incredible resources that help us do our jobs efficiently and effectively. Leadership is focused and helpful. Earning potential and work-life balance is excellent.,No cons at this time,Be the first to find this review helpful
101,Great Company to work for,"Jun 28, 2022 - Lead Solutions Engineer",5.0,_Growth opportunities _Stock option _Expand into other expertise _On Job Learning,Did not find any Cons to talk about,Be the first to find this review helpful
102,Great place to work,"Jun 13, 2022 - Content Production Manager in Atlanta, GA",5.0,"Salesforce has incredible benefits, interesting and fast-paced work, and a supportive culture.",I've had wonderful leaders at Salesforce and leaders who had a lot to learn. Look for teams with leaders you trust and admire for the best experience.,1 person found this review helpful
103,A GREAT Opportunity,"Apr 25, 2022 - Account Executive in Irvine, CA",5.0,"Joined the company about 6 months ago thinking I understood selling, and how to close business having spent 13 years in various AM & BD roles, but Salesforce takes the art of selling to another level entirely, and gives you the at-bats and the opportunity to succeed at every turn. They truly poured millions into learning and development, with more resources and training you could ask for or find anywhere else. Everyone makes you feel welcomed from the get-go, and there is a true mentality of ""we are in the trenches together"", where everyone is more than willing to help the new folks at the drop of a hat, because they've been there, and they care about their colleagues. It really is impressive. The compensation is lucrative, and the spiffs are insane! The office environment is very casual, and fun. Management, at least my chain of command, are in your corner and helping you whenever they can, and they do not pull punches (which I love), so you always know where you stand with them. They're tough, and so is the job, but more than fair, and highly rewarding.","I am not going to sugar coat it, onboarding and finding your sea legs once you have your territory, in a remote environment is REALLY TOUGH. You will feel lost at times, and wonder how you are going to hit any quota. There are so many resources available for anything you are trying to do that it can seem overwhelming; the phrase everyone repeats when you start is ""its like drinking from a firehose"", which I brushed off initially, because what job worth doing is easy to get started in? but they mean it, and you should believe it. SOOO much info is pumped into your brain when you start, it seems nearly impossible to grasp everything. The comp plan is wildly complicated, so you really have to take the time to understand how you make money so you can focus your efforts appropriately.",3 people found this review helpful
104,great,"Jul 1, 2022 - Customer Service Representative (CSR) in Iowa City, IA",5.0,this company is great to work for,i do not have any cons,Be the first to find this review helpful
105,Know your way around the political landscape,"Jul 6, 2022 - Senior Engagement Manager in Washington, DC",3.0,"Best place to learn more about Salesforce offerings Salesforce is always growing, you won't ever get bored at your job",Salesforce is a large company with many layers Knowing leadership and getting on their good side matters the most for promotions It's extremely important that you get staffed on a tier 1 client - visibility and career progression,1 person found this review helpful
106,Great people and culture. Stimulating work. Can be highly political.,"Apr 30, 2022 - Director of Marketing in San Francisco, CA",4.0,"- A very customer-centric company that cares about its employees. - There are opportunities to contribute, learn, and make a difference in every direction. - Lot's of inspiring leaders including Marc Benioff, Parker Harris, Tony, Prophet, and more. - An early adopter of the Equality for All movement in hiring. - Opportunities to participate in innovative customer-facing events that just keep getting better and better. - Great salary and benefits. - Lot's of amazing volunteer opportunities.","- The better you are at networking and being outgoing, the farther you can go. - It is an intensely sales-focused culture, and that can be frustrating if you want to contribute but don't aspire to be a salesperson. - Working with senior executives is hit or miss. Some are amazingly supportive. - - Others are bogged down and distracted due to top-down pressure from the President's Committee. - The closer your orbit is to the company's top executives the, more stressful you life is likely to be.",Be the first to find this review helpful
107,Great,"Jul 1, 2022 - Inside Sales Representative in Miami, FL",5.0,Great company with great benefits,Not the best job for everyone,Be the first to find this review helpful
108,Amazing Company Culture,"Apr 25, 2022 - Business Development Representative in Chicago, IL",5.0,Salesforce is the FIRST company I have been to where everyone is bought in to the culture and its a rare thing. From top down everyone wants to see each other grow and become successful in their role. Highly recommend!,"Just like any sales role there are a lot of moving parts and different procedures that you need to learn quickly, but they provide so many resources and everyone is so helpful that its not a problem",Be the first to find this review helpful
109,"Great people, benefits & overall good place to work","Jul 12, 2022 - Senior Recruiter in New York, NY",4.0,Salesforce fosters a collaborative environment which encourages employees to bring their authentic selves to work. Employee benefits and resources are excellent.,Compensation needs to be more competitive in order to retain top talen.,Be the first to find this review helpful
110,Proceed with caution,"May 18, 2022 - Principal Software Engineer",2.0,Good benefits. The company invests a lot of energy into promoting wellness and values.,"If you are doing work on the Core product, it can be frustrating, as it is a massive Java monolith. I believe there is a culture problem within the management ranks of the Digital Engagement division. SF promotes ""trust"" as their number one core value, but from what I experienced, certain individuals at the middle management level in this division of the company seem to embrace the opposite of that value, leading to an adversarial, rather than cooperative, relationship between teams.",1 person found this review helpful
111,Be surrounded by people that bring their best while bringing out the best in you,"Mar 14, 2022 - AVP-Sales in Chicago, IL",5.0,People are the best of the best We use our own products Customers actually like the technology Still in a growth mindset - which gives you an opportunity to leave your fingerprints on pieces of the business as we scale,Big company so it can be challenging keeping up with all the new additions You better be someone that actually likes (and embraces) change. It is a constant over here.,Be the first to find this review helpful
112,Great Company,"Jun 21, 2022 - Business Development Representative (BDR) in Chicago, IL",5.0,Cares about their employees and a lot of room to grow.,No cons so far that I can think of.,Be the first to find this review helpful
113,It was great,"Jun 24, 2022 - Account Manager in San Francisco, CA",5.0,"great company culture, would recommend to anyone",sometimes had to work long hours,Be the first to find this review helpful
114,Good place to work,"Jul 20, 2022 - Human Resources",4.0,"- benefits - work from anywhere, remote - company values",- very large - compensation - equity refresh is uncommon,Be the first to find this review helpful
115,Great Company,"Jun 19, 2022 - Analyst in New York, NY",5.0,"Awesome WLB - great colleagues, and benefits",Big companies can run decisions slow - sometimes takes time to approve certain projects,Be the first to find this review helpful
116,Great Company is Losing Its Way,"May 20, 2022 - Regional Vice President (RVP)",4.0,Great products Great sales Disciplines Customer Focused Great Marketeers,Too political Too preachy Viewpoint discrimination - conservatives are in the closet Too many high salaried people that were hired to make the higher management look more diverse,11 people found this review helpful
117,Nice company,"Jul 17, 2022 - Sr Customer Success Manager in Los Angeles, CA",3.0,"Lot's of opportunity, good employee perks and good mission",Rapid growth has caused ill equipped managers to promote too quickly and this has damaged the culture.,Be the first to find this review helpful
