,title,author_info,rating,pros,cons,helpful
10,A top-notch employer to work for,,4.0,Enjoy the benefits and the perks,Long working hours and stiff deadlines,Be the first to find this review helpful
11,Good Company to work for,,4.0,Good Company to work for,Depends on the team you are part of.,Be the first to find this review helpful
12,"Great company, poor management",,3.0,"Great company overall - good benefits, hybrid working model yada yada",Some mid-level sales manager do not possess industry experience. Therefore can't provide guidance to employees,2 people found this review helpful
13,Good Company with bad onboarding,,3.0,"Good Salary and Benefits, like home office setup reimbursement","High pressure, weak onboarding and training",Be the first to find this review helpful
14,"""One of the best,Definitely in Top 5""",,5.0,"1. Compensation(Above Industry Standard) a).MTS - 30L - 41L b.)SMTS - 42L - 60L c.)LMTS - 60L-90L 2. Work Life Balance(Top Notch) a.)Every Month 1 Friday well being holiday on top of standard sick leaves,annual leaves,casual leaves and 15 holidays 3. Every Quarter budget for Virtual Lunches, events and Yearly gifts. 4. 60k well being reimbursement (can buy fitness equipment, badminton rackets, yoga or massage classes) 5. Easy Internal Team transfer (OOM) 6. Good contribution will get you promoted easily. 7. Quality of work depends on team and cloud. 8. Educational reimbursement of 3,50,000 per annum. 9. Medical Insurance of 7L for entire family,OPD 15k, Covid expenses 50k.","1. Some teams work is very boring, no growth at all. 2.Stock is given for first 4 years only, stock refreshers are not given to below PMTS role which is why people leave the company after 4 years. 3.Some product managers spoil the culture but nothing to do with the company culture.",36 people found this review helpful
15,Technical Support Engineer Tier 2,,5.0,"- Great place to work - Managers are impartial - Great benefits - Flexibility to work from home 100%, 50% or combined days - I see many employees starting their careers on Salesforce in start positions and having several opportunities in the same area and in different areas as well. - Opportunity to study for career growth","- So far, no cons up to now (around 3 years)",Be the first to find this review helpful
16,"Great company, culture",,5.0,"Great company culture, innovation, new technologies","no cons, no cons no cons",Be the first to find this review helpful
17,Great culture,,5.0,"Great culture, one of the best in the industry Smart peers",Tech Stack is mostly internal (will depend on the team/product) Low impact since it's a huge org,Be the first to find this review helpful
18,Exciting Company to work,,5.0,"Great work life balance, amazing company if you are into tech and great colleagues.","Not much, depends on what you are looking for.",Be the first to find this review helpful
19,Senior Analyst,,5.0,The management team Autonomy extra perks and benefits,No Cons so far :),Be the first to find this review helpful
20,Account executive SMB,,5.0,Great company with great benefits,poor progression and some internal politics,Be the first to find this review helpful
21,Best place to work.,,5.0,A lot of skilled leads and employees learn different areas. Work culture and ethics.,No cons as of now.,Be the first to find this review helpful
22,Great company to work. Limited learning opportunities for this particular role.,,4.0,It’s a great company to work for with great culture and employee benefits. Fully satisfied and happy.,"The learning opportunities are limited for the role that I worked for initially. But even then, the management is very supportive and encourage you to upskill/cross skill and move to different teams",Be the first to find this review helpful
23,Strong product,,4.0,"Strong product, business leader, and sales team",Product integration with Core solution,Be the first to find this review helpful
24,Heaven for workaholics,,5.0,A heavenly place to work for those who want to achieve results in their work.,A hellish place to work for those who did not want to work. Many people had mental problems due to lack of recognition and hard work.,1 person found this review helpful
25,Think twice,,3.0,Good money is offered by company,They do not practise what they preach,2 people found this review helpful
26,Culture is gone,,2.0,Great suite of products and market cap,Overall culture has deteriorated badly over the last few years,4 people found this review helpful
27,Good Company,,4.0,Good benefit Good company culture Good career opportunity,Poor mid-level leadership cannibalising great leadership from above,Be the first to find this review helpful
28,Big company pros and cons,,4.0,"Benefits, events for customers are always with big sales and marketing budgets. Lots of options to explore lateral movements","Some teams have too much hierarchy, getting leadership positions are hard",1 person found this review helpful
29,Amazing place to work for,,5.0,"1. Management really cares about each and every employee 2. Really great projects to work for, should have good skills 3. Very employee-friendly, you will get everything you need from wellness(up to 60k/year) to education reimbursement (up to 3.5 lakhs with manager approval) 4. Office is no less than a 5 star hotel with free food and cool mascots","No cons, Salesforce has done everything to make sure employees are welcomed in like a family",1 person found this review helpful
30,Not what it used to be,,3.0,"Still a good company with good people, great offices.","Bad sales pressures, stupid focus on participation and not on the customer, unrealistic targets",1 person found this review helpful
31,"Generous compensation, complex matrix to maneuver",,3.0,Compensation Benefits Giving back Training Supporting systems,Management Discrepancy between values and reality Level of reporting Unattainable quotas,Be the first to find this review helpful
32,Awesome work culture,,5.0,Great work life balance. Good perks,None that i can think of.,1 person found this review helpful
33,Awesome company,,5.0,"Great place to work, benefits are amazing",Can't think of one... this place has it all.,Be the first to find this review helpful
34,Best mix of strategy and digital,,5.0,Great leadership and team Work with top execs on future-proofing transformation,Some americanised templatised approaches Some lack of understanding of strategy and consulting,Be the first to find this review helpful
35,Phenomenal company with real focus and strong values,,5.0,Incredible place to learn and grow,Fast pace and may be too full in for some,Be the first to find this review helpful
36,Great overall company,,4.0,Good comp plan Great platform,Pressure cooker Too focused on monthly number,Be the first to find this review helpful
37,Good WLB,,5.0,Good WLB is maintained across most teams,nothing to mention as of now,2 people found this review helpful
38,"Don't Believe the ""Best Places to Work"" lists - it's all a marketing ploy",,1.0,"• overall good benefits; however, they lack Canadian representation in HR or legal, which results in a lot of gaffe's and gross misunderstandings of the difference between legal requirements and competitive best practices • so large and lacking any accountability that you can really hide and do your own thing...if that's what you wanna do","• large & bureaucratic - next to impossible to get anything done • clunky & outdated technology - makes getting things done miserable and reinforces a culture of non accountability • they think they are great - when you get this big, you can lose your humility - believing your own hype will soon leave you lagging as a competitive employer • gross appropriation of Hawaiian culture",4 people found this review helpful
39,Healthy culture,,5.0,"Healthy culture that encourages openness and reaching out for help, emphasis on teamwork. Clear growth opportunities, both personally and professionally.","The usual cons of working in a large corporation, some changes are slow",Be the first to find this review helpful
40,"My dream job, full stop",,5.0,I absolutely love it here,It would take something extremely compelling for me to leave this company,Be the first to find this review helpful
41,Good,,4.0,Good work exposure and culture,low pay as compared to industry,Be the first to find this review helpful
42,Great place,,4.0,Great people Doable monthly targets for reps,Pay could be better Non-transparent promotion structures at times,Be the first to find this review helpful
43,"The best company I've ever worked for, however....",,5.0,- Inclusive company culture - Clear vision for growth - Core values that do not bend - Salary and benefits are unmatched,"- OrgCS used as an internal support platform does come its headaches (OMNI) since the design is one-fit amongst a large number of different skills groups for differing products, however this is not a negative against the company, just a personal gripe with the software we use in support.",2 people found this review helpful
44,It is ok but learning is slow,,3.0,"Work life balance is ok At times the team support and manager support is also ok Mainly depends on team , but mostly good",Almost no learning Old legacy code Too much frustration while working because of tedious old processes,1 person found this review helpful
45,Cool place to work,,3.0,"Cool perks (MacBook, free coffee, soda and snacks, good salary, wellness benefits)","The job is not challenging, I didn’t like the product",Be the first to find this review helpful
46,"A sales school, an environment to grow your skills but limited by the targets always increasing",,5.0,Get promoted every year Place de learn Good work balance (not applicable for AE role),Benefits at the office Clear promotion vision Too much non qualified managers and reps,Be the first to find this review helpful
47,Best place to work in argentina for sure.,,5.0,"Great pay, great benefits, good work life balance, lots of freedom and no pressure. Excellent tools and technologies, great for learning and growing","Bad HR processes, lots of internal systems and too much forced actions in culture and equality stuff",Be the first to find this review helpful
48,"Good work-life balance, old tech stack",,3.0,"Good work-life balance, wellness benefits","Old legacy code, tech stack is obsolete. Difficult for innovation",1 person found this review helpful
49,Amazing Culture and Workplace,,5.0,High quality onboarding and training program. Great support culture. A very inclusive work place. Great product development/support. Clear path to career progression.,Does take time to find your feet with the fast pace environment,Be the first to find this review helpful
50,Growing,,4.0,-Good company culture & great values -Good team spirit and supportive environment -Expanding company offering great learning opportunities,"-Health benefit can be improved, especially for serious illness, as well as capped benefits (e.g. GP, mental care) -High pressure like most big tech companies",Be the first to find this review helpful
51,Toxic work culture,,2.0,Great benefits Amazing office Fun events Great rep,Unattainable targets Toxic management Bullying No team work,5 people found this review helpful
52,Good WLB with great Benefits,,5.0,"Good WLB, with Good Pay, Employees are valued",Clear picture of job responsibilities,Be the first to find this review helpful
53,Brilliant organization to work for.,,5.0,PTO VTO Education Reimbursement Cafeteria Environment,I do not find any Cons really,Be the first to find this review helpful
54,Very good experience,,5.0,Very good environment and salaries,Nothing to say for cons,Be the first to find this review helpful
55,Great place to work,,5.0,BDA is an amazing role to be in. The onboarding is brilliant and everyone is so friendly. Couldn't recommend highly enough.,None that I can think of.,Be the first to find this review helpful
56,Its good work culture here and many employee friendly policies.,,5.0,Work culture Team Coordination Employee amenities Good Pay and hikes,Work Role sometimes doesn't align to your skillset,Be the first to find this review helpful
57,OT,,4.0,work-life balance is okay you can manage your schedule,Very high target and get higher and higher every year,Be the first to find this review helpful
58,Good,,4.0,Really fun work environment for sales,Sometimes very stressful hours on weekends,Be the first to find this review helpful
59,Revops,,5.0,"Work life balance, pay,very good work place.",Everything is good and great,Be the first to find this review helpful
60,Amazing company to work for,,5.0,Amazing company to work for,Haven't found any cons yet,Be the first to find this review helpful
61,Good company,,4.0,"Pay, Benefits, Vacation, Flexible, Organized",No cons to mention right now,Be the first to find this review helpful
62,Great place to learn,,4.0,"Best learning ground, surrounded with top talent and inspiring leaders","A lot of noise and chaos, although it’s a great aspect as it’s not dis-similar to other big tech companies",Be the first to find this review helpful
63,"Great benefits, growing a little too quickly",,4.0,"A great company to work for, with great benefits and prospects.","Grown very quickly over the last few years, perhaps unsustainable.",Be the first to find this review helpful
64,good place,,5.0,there great perks and benefits,can be a bit clicky,Be the first to find this review helpful
65,Work,,4.0,Great compensation Great benifits Nice work balance,Work is little more in support Have to consider many things and take up daily cases,Be the first to find this review helpful
66,"Good People, Slow Processes",,3.0,Lots of useful training and learning opportunities Good and smart people,"Very slow-moving, and lots of beauracracy Surprisingly underpaid compared to other partners in the ecosystem",Be the first to find this review helpful
67,Great place to work,,5.0,Amazing managers with great onboarding experience.,Can be overwhelming in choice of pathways to take internally,Be the first to find this review helpful
68,Good Salary Hike,,5.0,Getting good salary hike we can get.,Nothing I can see now.,Be the first to find this review helpful
69,One of the best companies to work at,,5.0,Excellent work culture and work life balance,None I can think of at the moment,Be the first to find this review helpful
70,Good,"Jun 6, 2022 - Customer Service Representative",4.0,Nice environment-Very flexible and pays is decent,Companies policies are outdated should review,Be the first to find this review helpful
71,Good benefit,"Jun 7, 2022 - Anonymous Employee in Tokyo",4.0,Nice Culture working as a team Good benefit and can work from home,too fast speed to chase all things,Be the first to find this review helpful
72,To work at a market leader,"May 23, 2022 - Anonymous Employee",5.0,- The alohaa spirit! - Every product change influences the entire commercial market,- Sometimes (like with all large corps) it gets a bit bureaucratic,Be the first to find this review helpful
73,Leadership is the cherry on top of the ice-cream.,"May 23, 2022 - Account Executive Marketing Cloud in Sydney",5.0,"- Company culture, if you find the right team it can be a really close knit and supportive team - Most of leadership are really supportive, knowledgeable and have done the job before -> feeling of trust and a 'I have your back' mentality is very evident - regional CEO, Pip Marlow is a legend - Wellness benefits - Product suite is large > more to sell -> Access to product specialists and other stakeholders to assist in deal close - Hybrid remote working - Office snacks - Tons of resources to help you get the job done","- Product enablement (super beneficial, but can be really time consuming, so be aware of where the managers priorities are for each enablement session) - Internal promotions can entail internal management level politics - Product suite is large -> Can be overwhelming if you don't like only ""knowing a little about a lot"" vs. a lot about a little. - The bureaucracy and management of a 70,000+ employee business involves lots of 'tick box' exercises that can be time-consuming and take away from job-related tasks. - Working with partners (third-party) to implement the software can be really time consuming for the customer and prolong a deal closing.",Be the first to find this review helpful
74,good,"Jun 5, 2022 - Rogers Sales Consultant",4.0,good enough if with good manager,low salary and slow progress,Be the first to find this review helpful
75,They win all the awards for a reason,"May 18, 2022 - Customer Success Director in London, England",5.0,"One of the better, big tech companies in terms of worklife balance, and benefits","It's still a big company, so politics, and bloated middle management",1 person found this review helpful
76,"At Tableau, Salesforce influence is frustrating","Jun 3, 2022 - Software Engineer in Vancouver, BC",3.0,"Company with big resources, cares about diversity and sustainability initiatives, Good work/life balance, existing Tableau Community is inspiring, Tableau Product is cool","Budget cuts are bizarre given profits (e.g. no morale/activity budget), initiatives come in that derail short term planning (e.g. compliance with no notice, 3 week deadlines), lots of training that feels very irrelevant, too many All hands",1 person found this review helpful
77,Great,"May 21, 2022 - Sales Development Representative (SDR) in London, England",5.0,"Great team, Lots of perks",Long Hours but thats all,Be the first to find this review helpful
78,Company Review,"May 21, 2022 - Systems Specialist in Hyderābād",5.0,Its one of the best companies to work,I did not find any cons,Be the first to find this review helpful
79,Best place to grow,"May 22, 2022 - Solution Engineer in Paris",5.0,Opportunities to learn People surrounding you Salary,Workload Expectations for excellence Too much internal processes,Be the first to find this review helpful
80,Great Company,,5.0,Great work culture Collaborative teams across the board,My manager tries to micromanage. Not a con for the company though.,Be the first to find this review helpful
81,Employee friendly company,,5.0,"Work culture, benefits, employee wellbeing",I did not see any cons as of today,Be the first to find this review helpful
82,Bodyshop,,2.0,My manager is good and respectful,Bodyshop - may as well be working as an independent contractor which I am considering,1 person found this review helpful
83,Great culture and management,,4.0,Inclusive culture Flexible working hours Managers aim to be great leaders,Little support for career development,Be the first to find this review helpful
84,"Engagement Specialist at Traction on Demand, a Salesforce company",,5.0,"Great team, good technology , lots of support, good hours, great opportunity to understand the Salesforce ecosystem","Average pay, no other cons on my opinion",Be the first to find this review helpful
85,Great place to work,,5.0,"Work life Balance, Compensations, Other Perks, and ESOP",May feel slow if you are used to a high paced environment,Be the first to find this review helpful
86,Ohana Culture,,5.0,Very good culture people centralized working environment Remote work,"Many things to learn, need continuous active learning Wide skill and business knowledge requested",Be the first to find this review helpful
87,Great Place to Work,,5.0,Interesting work to do. Offering flex working environment these days. We can go to the office sometime when we would like to.,Too many work to do for 1 person.,Be the first to find this review helpful
88,Best company to work at IMO,,5.0,"For now, the benefits and pay are second to none except maybe FAANG",Didn't find any con yet,Be the first to find this review helpful
89,"Great values, average salary, slow career progression",,4.0,"Good environment, great people, excellent company culture, low stress overall.","Average salary for the area, not many clear possibilities for career progression in less than 5 years, not very experienced professional services staff.",2 people found this review helpful
90,Mixed quality of internal stakeholders to collaborate with,,3.0,"- Great benefits (i.e. Insurance, Wellness Reimbursement, Snacks, etc.) - They care about the happiness and wellbeing of their employees - No internal meetings on Friday noons which may be a good thing for external-facing roles like AEs to minimize distractions - Some of the managers can be really good and try to create psychologically safe team environment",- Some of the Core AEs are not inspiring in leading the account team and yet very conceited. The problem is the company has a culture of having strong employee branding which may not be the true reflection of who is doing the real work. Some of the best contributing account team are behind the stage.,Be the first to find this review helpful
91,Exciting Company,,5.0,Best CRM company and friendly ppl,Sometimes can be tiring and get burn out easily.,Be the first to find this review helpful
92,Work process,,4.0,A lot of feedback all the time to progress deals / talks with clients,Constant stress of reaching a high budget,1 person found this review helpful
93,"Great pay, not so great culture",,3.0,Pay and benefits are great when compared to other players.,"Culture can be toxic, especially in sales.",1 person found this review helpful
94,Ok,,5.0,Good pay and benefits overall,Middle management and administrative duties,Be the first to find this review helpful
95,Good Pay,,5.0,Great culture overall and benefits,Very political on the small dpts,Be the first to find this review helpful
96,AWESOME COMPANY!,,5.0,Too many internal sessions and meetings,Excellent culture and career opportunity,Be the first to find this review helpful
97,All good,,4.0,All good in terms of everything.,Nothing as of now. Keep it uo.,Be the first to find this review helpful
98,Say big NO to Salesforce CSG,,1.0,Salary Perks iPhone MacBook Free food Premium cab Leave policies Insurance Brand name,CSG has lot of work pressure Lack of training with high csat expectation Unqualified managers Engineering team is rude and won’t support you properly Senior management will harass you if you get any escalation from customer Indian employees are not treated equally Layoffs. In pandemic they laid off engineers though company was seeing great profits. Google for more information,4 people found this review helpful
99,-,,3.0,Working environment is friendly and cozy,"Not enough rest time, sometime have tot talk work to home",Be the first to find this review helpful
100,good company,"May 11, 2022 - Senior UX Engineer",5.0,great place to work and good culture,The pay is fair but i see opportunity to be competitive as other companies,Be the first to find this review helpful
101,Great,"May 11, 2022 - Solutions Engineer",5.0,"Great team, great product, endless opportunities",Politics sometimes get in the way,Be the first to find this review helpful
102,Great place to work,"May 11, 2022 - IT Suppoirt",5.0,"Work flexibility, Allowances, Focus time",nothing as such until now,Be the first to find this review helpful
103,Company Review,"May 12, 2022 - Salesforce Support Engineer in Hyderābād",5.0,Best company to work with,No Cons as of such,Be the first to find this review helpful
104,good place,"May 25, 2022 - Product Manager in Tel Aviv-Yafo",4.0,big and stable company with a lot of growth,you are not a decision maker as in small startup,Be the first to find this review helpful
105,Great Place to work; increase diversity,"May 26, 2022 - Account Executive",4.0,Superb tech Great company values Many benefits and perks A true sense of community & culture,Middle management from the northern beaches of Sydney are out of touch with the reality of customers.,Be the first to find this review helpful
106,How to destroy companies the Salesforce way,"Jun 12, 2022 - Account Executive in London, England",1.0,Great benefits package Work from home,Toxic culture Incompetent leadership Disdain for customers More bureaucratic than the Soviet Union Politicised Unrealistic sales targets,6 people found this review helpful
107,"solid place, solid team solid product, a grindhouse of work","May 4, 2022 - Business Development Representative",5.0,great team great product amazing leadership lot of career growth if you play your cards right,"takes a lot to ""get "" salesforce being so big of a company -lots of cliques and groups. if you are not in with the ""cool kids"" you wont go far at salesforce",2 people found this review helpful
108,Best Company,"May 7, 2022 - Salesforce Solution Engineer in London, England",5.0,Best company to work for,No cons in my opinion,1 person found this review helpful
109,Great place to work,"May 10, 2022 - Account Executive in Stockholm, Stockholm",5.0,"Good leadership, great environment, good pay and benefits. Onboarding is the best I have seen",None to share about Salesforce,Be the first to find this review helpful
110,Excelente company,,5.0,Competitive benefits Awesome culture Competitive salary Flexible work policy,I didn't have any issues for now,Be the first to find this review helpful
111,A Decade well spent!,,5.0,Spend a decade here and this company gave me most of the things that I have in life right now! Unmatched work culture and growth in a company of this size!,Company is getting bigger and starting to get siloed.,Be the first to find this review helpful
112,Awesome Place to Work,,5.0,It is a great place to work with some brilliant minds who are always ready to help you. It provide a lot of opportunities to grow your self.,you will be in love with salesforce,Be the first to find this review helpful
113,gREAT PLACE TO WORK,,5.0,Extremely employee-friendly. Focused on career development Tons of benefits and perks,none. I dont see any cons,Be the first to find this review helpful
114,Amazing,,5.0,"Incredible culture, surrounded by smart people. Amazing benefits",Can be competitive but that isn't a bad thing,Be the first to find this review helpful
115,Great company,,5.0,"great place to work , really recommend",no issues or cons here,Be the first to find this review helpful
116,Great company to work,,5.0,"Great work life balance , great benefits , Supports family values , great career opportunities.",I don't have anything so far.,Be the first to find this review helpful
117,Great place to work and grow,,5.0,"Success anywhere (and any time) Great workplace culture, love the diversity Lots of learning opportunities Great employee benefits",Breakneck pace Can be quite streeful,Be the first to find this review helpful
118,Amazing Culture,,5.0,"Culture, team, opportunities, diversity and inclusion",Slow progression and head count issues,Be the first to find this review helpful
119,Great,,5.0,THE Company where the humain is the most important thing,Nothing to say against Salesforce,Be the first to find this review helpful
120,AAA,,4.0,"Well treated, good salary, fair manager",Can be high pressure at times,Be the first to find this review helpful
121,Work life balnce,,5.0,Salesforce is an employee centric company that extends some great benefits around work-life balance.,Work could sometimes be stressful,Be the first to find this review helpful
122,Food is good,,5.0,"Great food when available, but not always",Food not always available when there,Be the first to find this review helpful
123,Technical Consultant,,4.0,Surrounded by subject matter experts,Opportunities due to nature of Professional services. Culture when promotions come around. A lot of it's who you know not what you have done,Be the first to find this review helpful
124,Salary,,5.0,Great salary comparing to the market,Too many sales people - really depends on the team you joined,Be the first to find this review helpful
125,Best Pay,,5.0,Compensation will be way better than you imagine,"Support role, guess it will be difficult to change carrier to development",Be the first to find this review helpful
126,great company to work for and learn,,5.0,work life balance pay culture,stock refresh not there stock prises going down,Be the first to find this review helpful
127,Good Company,,4.0,"Good leadership, culture, industry leaders, friendly and helpful people. Ticks a lot of boxes.","Long onboarding process, a lot of different products to get your head around but it offers a great learning experience. Territories are small, AE's don't tend to manage more than a few deals at a time.",1 person found this review helpful
128,Unbelievably Awesome,,5.0,"Great Culture, Great Work Life Balance, Great Benefits, Great Compensation, Friendly Environment, Great Opportunities to Grow Quickly.",The technology I’m working is not a futuristic one.,1 person found this review helpful
129,Account executive,,4.0,"Very well organised, many processes for AEs to succeed","A lot of information to take in, many tools and processes",Be the first to find this review helpful
130,Great place to grow your Salesforce Skills across different Platforms,"Mar 1, 2022 - Cx Engineer in Dublin, Dublin",5.0,"The atmosphere is very healthy. Great work/life balance, you have plenty of time to grow and learn new skills, such as certifications. Hence, you have the ability and flexibility to organize your own work schedule, and trust is given from day 1 once you have demonstrated you bring impact to the team and being responsible for your work. Really recommend applying when early in a salesforce career.",Missing seniors in the team that have a good level of platform technical knowledge to lead and motivate others.,Be the first to find this review helpful
131,"Interview process, worklife and pay package","Mar 13, 2022 - Technical Architect in Toronto, ON",5.0,"There were 3 rounds for the TA Position. 1. Technical: Mainly focused on Integrations, Projects I worked on, Security, Encryption related questions. 2. Consulting 3. Panel Interview: Like CTA, you need to present a project scenario if your choice which was implemented by you in your past projects. The presentation should contains problem statement, requirments, implementation strategy, solution, etc.",Nothing I can think of,Be the first to find this review helpful
132,Working at Salesforce,"May 5, 2022 - Business Development Representative",5.0,Very good benefits across board.,Fast paced but it’s not for the weak,Be the first to find this review helpful
133,Salary,"May 7, 2022 - Account Executive in Dublin, Dublin",5.0,Great salary comparing to the market,Too many sales people - really depends on the team you joined,Be the first to find this review helpful
134,Good place to get your career started!,"Jan 15, 2022 - Business Development Representative in Toronto, ON",5.0,"I worked at a very small SaaS company before coming to Salesforce. I wanted my next step to be at a company where there were options for moving up career-wise and have the potential to increase my income. Both SDR and BDR roles can be a grind but you learn a ton, have great colleagues and are compensated fairly for your successes. They also have good benefits, an ESPP plan and 401k / RRSP matching. Post-BDR, there are multiple AE avenues for you to explore (core, verticals, or co-prime) and other options such as becoming a Renewals Manager or Solution Engineer (though not as common). Overall, I would recommend Salesforce as a great place for people to get their career started.",Metrics can be intense sometimes and a grind.,Be the first to find this review helpful
135,Good Pay,"May 12, 2022 - Benefits in Toronto, ON",5.0,Great culture overall and benefits,Very political on the small dpts,Be the first to find this review helpful
136,Excelente company,"May 10, 2022 - Anonymous Employee",5.0,Competitive benefits Awesome culture Competitive salary Flexible work policy,I didn't have any issues for now,Be the first to find this review helpful
137,good,"Apr 23, 2022 - Cloud Sales Executive in Tokyo",4.0,"Year after year, product capabilities have been strengthened, and the vision that customers want to achieve can be completed by a single company.","The amount of information about the increasing number of products and their multiple Also, the number of recruits has increased so much that we are having a hard time dealing with those who do not have sufficient knowledge.",1 person found this review helpful
138,Great,"May 10, 2022 - Associate Technical Consultant in Casablanca, Greater Casablanca",5.0,THE Company where the humain is the most important thing,Nothing to say against Salesforce,Be the first to find this review helpful
139,Overall good,"May 19, 2022 - Strategy Solution Consultant in Toronto, ON",3.0,Good company to improve your current skill sets.,Squad structure - different culture according to different squads.,Be the first to find this review helpful
140,Great to company to work at,"May 3, 2022 - Software Engineer (MTS) in Tel Aviv-Yafo",5.0,Full flexibility Great managers Top technology,Less RSU than other companies,Be the first to find this review helpful
141,Top company,"May 3, 2022 - Account Executive in Brisbane",5.0,Great work life balance Very aligned to my values Good comp Great support Great family benefits Great alignment to help local community,Overwhelming amount of information coming a you all the time so you need to develop a filter,Be the first to find this review helpful
142,Great Values,"Apr 28, 2022 - Anonymous Employee in London, England",5.0,Amazing on-boarding process and values. Actively encourage all employees to participate in volunteering. Diversity and Equality is seen throughout the business,"Loads of information to digest, can sometimes be a little overwhelming.",1 person found this review helpful
143,Best Place to Be,"Apr 29, 2022 - Senior Business Architect in Paris",5.0,"Salesforce is the best company in the CRM Market today, from a product and from a culture and people standpoint.",None that I can think of,1 person found this review helpful
144,Good Company,"May 1, 2022 - Systems Specialist II in Hyderābād",5.0,Best Company to work in India,Technologies are changing day by da,Be the first to find this review helpful
145,One of the best companies to work,"May 1, 2022 - Software Engineer AMTS",5.0,Great eokr culture and perks.,Some teams have maintenance based work.,Be the first to find this review helpful
146,Great to enter at a more senior level,"May 1, 2022 - Solution Engineer in Sydney",5.0,"- Great culture, great perks, wellness days - Great people - Great learning community, great opportunities to develop and grow","At more entry levels, it takes longer to progress and the title is not reflective of the work you do. Eg Associate SEs are meant to only shadow and support builds, but often do their own demos from month 3, and are forced to stay as 'Associates' for min 2 years until they are ""eligible"" for promotion. Would recommend coming in as Senior SE or above. Internal promotes get much much less than the external market rate. Mgmt are willing to let go of internals and hire externals at the rate the internals were asking for and lose 6 months sales productivity for people who will take longer to ramp.",Be the first to find this review helpful
147,One of the Best Company,"May 2, 2022 - Developer Support Engineer in Hyderābād",5.0,Employee focused and benefits Very Best,Work Load sometimes becomes too much,Be the first to find this review helpful
148,"Great perks, great career progression.","Apr 30, 2022 - Senior Product Marketing Manager",5.0,Many challenges to solve Great colleagues to hang out Fun offices worth commuting,Toxic positivity Frequent leadership turnover Corporate mumbo jumbo,Be the first to find this review helpful
149,Great work culture,"Apr 30, 2022 - CSSA",5.0,"Good benefits, Good work-life balance, Equality","Management, Compensation evaluation issue, Opinion placement",Be the first to find this review helpful
150,Great Culture,"May 1, 2022 - SMTS, Quality Engineer in Bangalore",5.0,"- Employee benefits such as wellness reimbursement every quarter, Number of leaves, Good cafeteria food, focus on employee's health to name some - Great scope of innovation, no micro management - Managers are highly talented people here. You can look up-to them and discuss your issues in weekly 1:1. Managers are very much involved in employees well being - Transparency in company's and product's vision. From top level, you will get every information you would be looking out or not looking out",Could not find any cons,Be the first to find this review helpful
151,working at salesforce,"May 15, 2022 - Senior Customer Success Manager in Tel Aviv-Yafo",4.0,great company very structured hard to progress,"to big company hard to get noticed, salaries raise slowly",Be the first to find this review helpful
